time_milisec,ax,ay,az
1421715322504.00,-0.91519684,3.9806721,9.053623
1421715322534.00,-1.0159373,4.3081913,8.824
1421715322545.00,-1.0922786,4.4969487,8.653954
1421715322565.00,-1.1524534,4.3102865,8.858728
1421715322583.00,-1.0803035,4.2767563,9.077423
1421715322603.00,-1.1008109,4.4801836,8.815468
1421715322622.00,-1.0502161,4.612209,8.79541
1421715322642.00,-1.1135345,4.542903,8.81906
1421715322663.00,-1.0502161,4.4875183,8.933573
1421715322683.00,-0.92552537,4.3372307,8.806936
1421715322702.00,-1.1153307,4.263434,8.93956
1421715322723.00,-1.0389894,4.4300375,8.91097
1421715322743.00,-1.1696677,4.322262,8.915161
1421715322762.00,-1.2028985,4.4947033,9.010662
1421715322783.00,-1.1100916,4.4610233,8.89645
1421715322802.00,-1.0855426,4.337081,8.721613
1421715322822.00,-0.9422905,4.2682242,8.926088
1421715322843.00,-0.9644444,4.3652225,8.970845
1421715322862.00,-1.0341994,4.3743534,8.924142
1421715322883.00,-1.0638378,4.426894,8.876092
1421715322904.00,-1.0762619,4.305796,8.880882
1421715322923.00,-1.0412347,4.384981,8.909922
1421715322943.00,-0.972827,4.504583,8.834478
1421715322963.00,-1.2428654,4.4469523,8.845106
1421715322982.00,-1.1642789,4.603976,8.982222
1421715323002.00,-1.3063334,4.573889,8.895552
1421715323023.00,-1.1371852,4.2719665,8.981623
1421715323042.00,-1.0316547,4.3349853,9.083112
1421715323063.00,-1.1117381,4.321663,9.012908
1421715323082.00,-1.093027,4.4128237,8.924142
1421715323104.00,-1.0509645,4.407285,8.967552
1421715323124.00,-0.88451064,4.379892,8.949589
1421715323142.00,-1.0072554,4.364025,8.868009
1421715323162.00,-0.9681866,4.2737627,8.883576
1421715323184.00,-1.0220746,4.198469,8.861423
1421715323204.00,-0.99977094,4.235143,9.134904
1421715323224.00,-0.9925859,4.3569894,9.075777
1421715323244.00,-0.98794556,4.4402165,8.9900055
1421715323264.00,-0.9624985,4.4734473,8.760682
1421715323284.00,-1.1659255,4.4012976,8.749755
1421715323303.00,-1.1344908,4.4364743,9.123827
1421715323324.00,-1.060844,4.326004,9.14149
1421715323344.00,-1.0388397,4.355942,8.894504
1421715323364.00,-1.1340418,4.3360333,8.88208
1421715323384.00,-0.97746736,4.449497,8.851693
1421715323404.00,-1.1490107,4.4571314,8.7897215
1421715323424.00,-1.2395723,4.4141707,8.82894
1421715323444.00,-1.294059,4.4209065,9.008267
1421715323463.00,-1.131048,4.3893223,9.010962
1421715323483.00,-0.97432387,4.298162,9.027278
1421715323504.00,-1.0225236,4.3652225,8.702304
1421715323524.00,-0.96429473,4.475094,8.825647
1421715323543.00,-0.9277707,4.3179207,8.796457
1421715323564.00,-1.0518626,4.274212,8.929831
1421715323584.00,-0.97118044,4.2772055,8.989856
1421715323603.00,-0.9966275,4.402944,8.931776
1421715323624.00,-1.1243119,4.235592,8.936117
1421715323644.00,-0.98450273,4.204307,8.9690485
1421715323664.00,-1.0870395,4.364175,9.088201
1421715323684.00,-1.0955718,4.373306,8.917256
1421715323703.00,-1.1332933,4.511618,8.811127
1421715323723.00,-1.0728191,4.4051895,8.932674
1421715323744.00,-1.0121951,4.40953,8.9215975
1421715323763.00,-1.0431807,4.3352847,9.070538
1421715323783.00,-1.1130853,4.50593,8.871451
1421715323804.00,-1.1340418,4.364474,8.826245
1421715323824.00,-0.96175003,4.4113264,8.738977
1421715323843.00,-1.0129436,4.4725494,8.895851
1421715323864.00,-1.1614348,4.4080334,8.943152
1421715323884.00,-1.0797048,4.437073,9.150172
1421715323904.00,-0.96953386,4.307293,9.091045
1421715323924.00,-1.1223661,4.383185,8.787027
1421715323944.00,-1.3168117,4.4484496,8.682245
1421715323986.00,-1.0359956,4.4758425,8.7897215
1421715323987.00,-1.1491603,4.4738965,9.044192
1421715324003.00,-1.1020083,4.475543,9.072933
1421715324024.00,-1.0819501,4.5089235,8.817714
1421715324043.00,-1.1521541,4.4867697,8.696166
1421715324062.00,-1.155597,4.531826,8.82445
1421715324082.00,-0.9551637,4.4387197,8.990305
1421715324103.00,-0.9922865,4.3722577,9.043444
1421715324128.00,-0.98285615,4.3554926,9.013805
1421715324142.00,-1.1247611,4.4791355,9.080268
1421715324163.00,-0.99483126,4.4969487,9.134604
1421715324186.00,-0.9713301,4.2915754,8.945847
1421715324204.00,-1.2198133,4.431385,8.883277
1421715324224.00,-1.1165282,4.54425,9.048983
1421715324242.00,-1.1647279,4.477938,8.882229
1421715324263.00,-1.2457095,4.470903,8.856033
1421715324283.00,-1.1247611,4.46267,8.907377
1421715324302.00,-1.2259506,4.2724156,8.817863
1421715324322.00,-1.2061917,4.4569817,8.910371
1421715324345.00,-1.1406281,4.456832,8.912316
1421715324387.00,-0.979563,4.430187,8.667127
1421715324389.00,-1.059347,4.3035507,8.728798
1421715324411.00,-1.069975,4.3153763,8.891061
1421715324424.00,-1.10126,4.3605824,8.934172
1421715324444.00,-0.839604,4.190386,8.944799
1421715324463.00,-0.9783655,4.31373,9.073531
1421715324483.00,-1.0725197,4.4614725,8.9497385
1421715324503.00,-1.0862911,4.456233,8.875493
1421715324526.00,-1.0663824,4.4511437,8.893007
1421715324542.00,-1.0415341,4.3960586,8.850795
1421715324564.00,-1.0943742,4.452192,8.769065
1421715324582.00,-1.0798545,4.4180627,8.819959
1421715324603.00,-1.0464739,4.5436516,8.834029
