time_milisec,gx,gy,gz
1421716064964.00,0.004263188,-0.06501735,-0.039436888
1421716064990.00,-0.02238307,-0.110848755,-0.07141213
1421716065010.00,0.02131674,-0.051160924,-0.054358847
1421716065018.00,0.056489907,0.01705302,-0.01811988
1421716065037.00,0.052226186,0.050094593,-0.006395315
1421716065057.00,0.031975243,0.023448335,-0.007461112
1421716065078.00,0.004263188,-0.03090998,0.005328985
1421716065097.00,0,-0.034107372,0.022382537
1421716065118.00,0.03304104,0.013855628,0.027712055
1421716065137.00,0.013855628,0.018119348,0.030909447
1421716065160.00,-0.014922224,-0.009593239,0.037304495
1421716065178.00,-0.008526909,-0.026646258,0.014921425
1421716065197.00,-0.017053818,-0.037305295,-0.010659036
1421716065219.00,-0.008526909,-0.013856427,-0.007461112
1421716065238.00,-0.005329518,0.010658237,-0.00106633
1421716065258.00,-0.019185679,0.022382537,0.001065797
1421716065277.00,-0.005329518,0.03304104,0.007460579
1421716065298.00,-0.01279063,0.013855628,0.015987223
1421716065317.00,-0.024514664,-0.004263721,0.019185146
1421716065337.00,-0.006395315,-0.00106633,0.023448335
1421716065357.00,0.014921425,0.01705302,0.024514131
1421716065378.00,0.027712055,0.026645726,0.028777853
1421716065397.00,0.014921425,0.008526376,0.029843649
1421716065417.00,-0.01811988,-0.010659036,0.012789832
1421716065438.00,-0.013856427,-0.008526909,0.00959244
1421716065458.00,0.029843649,0.026645726,0.019185146
1421716065477.00,0.046897203,0.03410684,0.015987223
1421716065497.00,-0.002132127,-0.007461112,-0.011724833
1421716065517.00,-0.037305295,-0.05649044,-0.019185679
1421716065537.00,0.004263188,-0.01279063,-0.009593239
1421716065558.00,0.06288496,0.049028795,0.020250943
1421716065577.00,0.03304104,0.020250943,0.030909447
1421716065597.00,-0.01811988,-0.034107372,-0.00106633
1421716065617.00,-0.035173167,-0.061819427,0.007460579
1421716065639.00,0.013855628,-0.017053818,0.044765607
1421716065658.00,0.04369928,0.030909447,0.04369928
1421716065678.00,-0.010659036,-0.011724833,0.03304104
1421716065698.00,-0.025580462,-0.03837109,0.030909447
1421716065718.00,0.008526376,0.001065797,0.03943609
1421716065738.00,0.012789832,0.028777853,0.046897203
1421716065758.00,0.008526376,0.029843649,0.036238696
1421716065778.00,0.010658237,0.020250943,0.01705302
1421716065798.00,0.00959244,0.007460579,0.001065797
1421716065818.00,-0.003197924,-0.01811988,-0.011724833
1421716065838.00,-0.013856427,-0.035173167,-0.011724833
1421716065858.00,0.018119348,-0.023448868,-0.011724833
1421716065878.00,0.029843649,-0.014922224,-0.023448868
1421716065898.00,-0.005329518,-0.054358847,-0.029844182
1421716065918.00,-0.0852683,-0.1289681,-0.046897735
1421716065938.00,0.003197391,-0.049029328,-0.009593239
1421716065958.00,0.11617721,0.08953121,0.038370293
1421716065978.00,0.070345536,0.06288496,0.036238696
1421716065998.00,-0.017053818,-0.058622036,-0.013856427
1421716066017.00,-0.034107372,-0.0842025,-0.03837109
1421716066037.00,0.023448335,0.015987223,-0.002132127
1421716066057.00,0.06821394,0.07887244,0.027712055
1421716066078.00,0.035172634,0.030909447,0.005328985
1421716066098.00,0.001065797,-0.039436888,-0.028778385
1421716066117.00,0.010658237,-0.04796353,-0.021317273
1421716066138.00,0.028777853,-0.011724833,0.001065797
1421716066158.00,0.030909447,0.018119348,0.008526376
1421716066177.00,0.014921425,0.010658237,0
1421716066198.00,-0.013856427,-0.017053818,0
1421716066217.00,0.015987223,-0.007461112,0.013855628
1421716066238.00,0.049028795,0.014921425,0.015987223
1421716066258.00,0.028777853,-0.007461112,0.001065797
1421716066277.00,0.018119348,-0.014922224,-0.021317273
1421716066297.00,0.019185146,-0.010659036,-0.034107372
1421716066318.00,0.023448335,-0.011724833,-0.028778385
1421716066337.00,0.015987223,-0.01279063,-0.017053818
1421716066357.00,0.01705302,-0.006395315,-0.009593239
1421716066377.00,0.010658237,-0.014922224,-0.014922224
1421716066397.00,0.007460579,-0.02238307,-0.013856427
1421716066417.00,0.002131594,-0.011724833,0
1421716066437.00,0.022382537,0.007460579,0.011724034
1421716066457.00,0.041567683,0.008526376,0.00959244
1421716066477.00,0.020250943,-0.003197924,-0.01279063
1421716066497.00,-0.010659036,-0.014922224,-0.025580462
1421716066517.00,-0.003197924,0,-0.01811988
1421716066537.00,0.024514131,0.038370293,-0.002132127
1421716066557.00,0.020250943,0.035172634,-0.004263721
1421716066578.00,0,-0.020251475,-0.024514664
1421716066598.00,0.019185146,-0.03837109,-0.039436888
1421716066618.00,0.035172634,-0.009593239,-0.02238307
1421716066638.00,0.029843649,0.00959244,-0.007461112
1421716066658.00,0.023448335,0.008526376,-0.013856427
1421716066678.00,0.004263188,-0.002132127,-0.014922224
1421716066698.00,0.002131594,-0.006395315,-0.008526909
1421716066719.00,0.02131674,0.007460579,-0.006395315
1421716066738.00,0.006394783,0.008526376,-0.007461112
1421716066758.00,-0.021317273,-0.014922224,-0.01279063
1421716066778.00,-0.014922224,-0.015988022,-0.027712587
1421716066807.00,-0.007461112,-0.01811988,-0.019185679
1421716066821.00,0.011724034,-0.017053818,0
1421716066868.00,0.036238696,-0.003197924,-0.004263721
1421716066869.00,0.015987223,-0.003197924,-0.00106633
1421716066877.00,-0.014922224,0.020250943,0.008526376
1421716066903.00,-0.026646258,0.036238696,0.02131674
1421716066917.00,-0.005329518,0.028777853,0.040501885
1421716066937.00,0.013855628,0.018119348,0.047962997
1421716066957.00,0.006394783,0.013855628,0.038370293
1421716066978.00,-0.014922224,0.004263188,0.018119348
1421716066998.00,-0.029844182,0,-0.009593239
1421716067077.00,-0.021317273,0.008526376,-0.01811988
1421716067078.00,-0.010659036,0.035172634,-0.013856427
1421716067078.00,-0.008526909,0.026645726,-0.017053818
1421716067079.00,-0.009593239,-0.01279063,-0.020251475
1421716067128.00,-0.009593239,-0.019185679,-0.03090998
1421716067128.00,0.002131594,0.011724034,-0.011724833
1421716067185.00,0.005328985,0.031975243,0.013855628
1421716067186.00,-0.006395315,0.013855628,0.02131674
1421716067187.00,-0.007461112,-0.002132127,0.014921425
1421716067231.00,0.003197391,0.012789832,0.020250943
1421716067232.00,0.024514131,0.035172634,0.027712055
1421716067309.00,0.026645726,0.020250943,0.02131674
1421716067310.00,0.001065797,-0.013856427,-0.004263721
1421716067311.00,-0.005329518,-0.02238307,-0.01811988
1421716067312.00,0.012789832,0.002131594,-0.013856427
1421716067323.00,0.035172634,0.007460579,-0.015988022
1421716067375.00,0.03410684,-0.017053818,-0.039436888
1421716067376.00,0.01705302,-0.027712587,-0.058622036
1421716067380.00,0.031975243,-0.004263721,-0.051160924
1421716067438.00,0.035172634,0.014921425,-0.029844182
1421716067441.00,0.031975243,0.010658237,-0.035173167
1421716067441.00,0.027712055,-0.028778385,-0.054358847
1421716067469.00,0.02557993,-0.053292517,-0.053292517
1421716067530.00,0.035172634,-0.024514664,-0.05222672
1421716067530.00,0.041567683,0.013855628,-0.039436888
1421716067530.00,0.08526776,0.07247766,-0.015988022
1421716067589.00,0.071411334,0.020250943,-0.035173167
1421716067590.00,0.058621503,-0.023448868,-0.049029328
1421716067591.00,0.03410684,-0.023448868,-0.06075363
1421716067610.00,0.050094593,0.010658237,-0.039436888
1421716067655.00,0.08633356,0.029843649,-0.031975776
1421716067656.00,0.09166281,0.027712055,-0.04263428
1421716067661.00,0.045831405,0.001065797,-0.041568484
1421716067711.00,0.002131594,-0.053292517,-0.054358847
1421716067711.00,-0.10338764,0.022382537,-0.04796353
1421716067719.00,-0.15881175,-0.003197924,0.07247766
1421716067769.00,0.14388953,0.040501885,0.011724034
1421716067769.00,0.038370293,-0.01811988,-0.00106633
1421716067795.00,-0.17906323,-0.0852683,0.052226186
1421716067797.00,-0.07141213,-0.110848755,0.06927974
1421716067843.00,0.038370293,-0.081005104,0.04369928
1421716067843.00,-0.017053818,-0.033041574,0.07247766
1421716067903.00,-0.026646258,0.011724034,0.12790178
1421716067903.00,0,0.027712055,0.14175767
1421716067904.00,-0.039436888,0,0.12150646
1421716067917.00,-0.08846568,-0.034107372,0.09059701
1421716067965.00,-0.09699259,-0.021317273,0.088465154
1421716067965.00,-0.12683651,-0.043700077,0.075675055
1421716068010.00,-0.12470465,-0.09166361,0.05542411
1421716068011.00,-0.10338764,-0.12150726,0.060753096
1421716068035.00,-0.0820709,-0.092729405,0.10445291
1421716068037.00,-0.073543996,-0.058622036,0.14815272
1421716068057.00,-0.10445344,-0.075675584,0.15881123
1421716068083.00,-0.17693137,-0.14602192,0.13749447
1421716068098.00,-0.23448734,-0.17160238,0.11617721
1421716068117.00,-0.12363885,-0.026646258,0.14175767
1421716068137.00,0.075675055,0.15561382,0.18545748
1421716068157.00,0.070345536,0.12896757,0.17053579
1421716068177.00,-0.049029328,-0.02238307,0.063950755
1421716068197.00,-0.09805839,-0.11191455,-0.049029328
1421716068217.00,-0.034107372,-0.058622036,-0.075675584
1421716068237.00,0.044765607,0.028777853,-0.06608315
1421716068257.00,0.03304104,0.013855628,-0.075675584
1421716068277.00,0.003197391,-0.061819427,-0.094861
1421716068297.00,0.012789832,-0.06501735,-0.10978296
1421716068317.00,0.07354346,0.006394783,-0.10232185
1421716068337.00,0.09912392,0.04263348,-0.0831367
1421716068357.00,0.07354346,0.014921425,-0.07674138
1421716068377.00,0.007460579,-0.043700077,-0.075675584
1421716068397.00,-0.005329518,-0.01279063,-0.06501735
1421716068417.00,0.06608235,0.08953121,-0.034107372
1421716068437.00,0.07354346,0.093794405,-0.023448868
1421716068457.00,-0.008526909,-0.010659036,-0.07141213
1421716068477.00,-0.09166361,-0.12044146,-0.11298035
1421716068497.00,0.095925994,0.075675055,-0.11191455
1421716068517.00,0.31016186,0.48176372,-0.009593239
1421716068542.00,-0.06395155,0.09699179,0.13429682
1421716068561.00,-0.30909687,-0.25047535,0.015987223
1421716068577.00,-0.2280923,-0.2707263,-0.10445344
1421716068618.00,0.05116039,-0.034107372,-0.019185679
1421716068619.00,0.22702569,0.15561382,0.07993824
1421716068652.00,0.18439168,0.12683597,0.071411334
1421716068657.00,0.035172634,-0.019185679,0.010658237
1421716068687.00,-0.08953201,-0.1310997,-0.031975776
1421716068698.00,-0.03837109,-0.03837109,-0.004263721
1421716068717.00,0.08526776,0.12790178,0.044765607
1421716068738.00,0.07674085,0.13003337,0.030909447
1421716068758.00,-0.023448868,-0.003197924,-0.021317273
1421716068777.00,-0.0724782,-0.0852683,-0.054358847
1421716068798.00,0.007460579,-0.010659036,-0.026646258
1421716068835.00,0.10978243,0.100189716,0.018119348
1421716068838.00,0.081004575,0.093794405,0.015987223
1421716068862.00,-0.003197924,0.013855628,-0.009593239
1421716068877.00,-0.026646258,-0.034107372,-0.011724833
1421716068901.00,0.035172634,0.035172634,0.018119348
1421716068918.00,0.06714814,0.10232131,0.037304495
1421716068937.00,0.029843649,0.08526776,0.037304495
1421716068957.00,-0.010659036,-0.002132127,0.002131594
1421716068980.00,-0.020251475,-0.035173167,-0.023448868
1421716068997.00,0.006394783,-0.00106633,-0.017053818
1421716069018.00,0.013855628,0.03304104,-0.017053818
1421716069037.00,0,0.019185146,-0.036239497
1421716069058.00,-0.009593239,-0.029844182,-0.053292517
1421716069077.00,0.030909447,-0.01811988,-0.054358847
1421716069097.00,0.063950755,0.023448335,-0.058622036
1421716069119.00,0.024514131,0.010658237,-0.05968783
1421716069164.00,0.006394783,-0.029844182,-0.04263428
1421716069164.00,0.06821394,-0.040502686,-0.033041574
1421716069188.00,0.1918528,0.26965997,-0.028778385
1421716069197.00,-0.08633409,0.02557993,0.08420196
1421716069225.00,-0.19291912,-0.20251183,-0.01811988
1421716069274.00,-0.039436888,-0.07141213,-0.049029328
1421716069274.00,0.06288496,0.060753096,0.07460926
1421716069286.00,0.06927974,0.07780665,0.123638056
1421716069307.00,0.02131674,0.004263188,0.05116039
1421716069328.00,-0.05649044,-0.09059781,0.008526376
1421716069363.00,-0.053292517,-0.069280535,0.006394783
1421716069364.00,-0.00106633,0.008526376,0.022382537
1421716069394.00,0.044765607,0.05542411,0.04263348
1421716069408.00,0.04369928,0.022382537,0.024514131
1421716069417.00,-0.009593239,-0.049029328,-0.010659036
1421716069437.00,-0.05649044,-0.073543996,-0.011724833
1421716069459.00,-0.03090998,-0.010659036,0.01705302
1421716069477.00,0.023448335,0.054358315,0.041567683
1421716069497.00,0.015987223,0.03304104,0.036238696
1421716069518.00,-0.021317273,-0.031975776,0.01705302
1421716069537.00,-0.019185679,-0.051160924,-0.002132127
1421716069557.00,-0.00106633,-0.021317273,-0.003197924
1421716069580.00,-0.003197924,-0.008526909,0.010658237
1421716069597.00,0.001065797,-0.009593239,0.01705302
1421716069618.00,0.030909447,-0.00106633,0.008526376
1421716069638.00,0.018119348,-0.014922224,-0.002132127
1421716069658.00,-0.013856427,-0.034107372,-0.023448868
1421716069679.00,-0.014922224,-0.027712587,-0.036239497
1421716069698.00,0.011724034,0.001065797,-0.03090998
1421716069718.00,0.04263348,0.00959244,-0.020251475
1421716069737.00,0.023448335,-0.025580462,-0.020251475
1421716069757.00,-0.002132127,-0.049029328,-0.03090998
