time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421715324983.00,0,0,0,0,0,0,0,0
1421715324991.00,0,12.5,0,27.3,4.3,1.7,0,6.2
1421715325002.00,1.7,0,0,25.8,5.8,3.3,25.9,7.7
1421715325011.00,0,0,11.2,74,4.3,3.3,0,0
1421715325014.00,22.1,15.8,9.6,27.3,4.3,3.3,21.2,31.9
1421715325025.00,18.6,17.6,63,60.8,4.3,0,18.1,38.1
1421715325038.00,18.6,15.8,11.2,27.3,5.8,13.2,22.7,31.9
1421715325051.00,20.4,52.2,9.6,27.3,0,0,19.6,31.9
1421715325064.00,20.4,15.8,9.6,27.3,19.9,18.1,21.2,33.4
1421715325072.00,20.4,57.9,0,24.2,15.6,59.5,32,31.9
1421715325080.00,18.6,15.8,25.2,28.9,18.5,8.2,19.6,63.7
1421715325082.00,13.5,28.3,25.2,27.3,18.5,18.1,21.2,0
1421715325085.00,18.6,1.7,26.8,22.7,19.9,18.1,21.2,31.7
1421715325091.00,37.8,15.8,0,25.8,60.2,16.5,21.2,30.2
1421715325094.00,18.6,15.8,25.2,27.3,14.2,14.8,74,52.2
1421715325097.00,46.7,15.8,25.2,27.3,17,18.1,6,33.3
1421715325099.00,5,17.6,23.6,27.3,17,18.1,19.6,34.8
1421715325102.00,0,15.8,25.2,28.9,5.6,19.8,21.2,34.8
1421715325106.00,58.3,17.6,26.8,6,14.2,52.4,27.3,21
1421715325109.00,30.2,15.8,26.8,49.4,54.1,18.1,0,31.7
1421715325125.00,13.3,17.6,25.2,25.8,17,18.1,87.4,31.7
1421715325128.00,25.1,15.8,38.2,27.3,18.5,11.5,10.5,53.8
1421715325131.00,31.9,15.8,26.8,27.3,18.5,18.1,21.2,34.8
1421715325134.00,30.2,30.1,49.7,27.3,0,14.8,49.4,41.1
1421715325139.00,31.9,15.8,25.2,28.9,26.8,18.1,21.2,34.8
1421715325145.00,31.9,28.3,17.2,24.2,23.9,72,22.7,34.8
1421715325149.00,33.7,15.8,25.2,27.3,26.8,18.1,19.6,34.8
1421715325154.00,30.2,15.8,25.2,27.3,26.8,18.1,21.2,34.8
1421715325166.00,30.2,15.8,25.2,27.3,26.8,18.1,21.2,34.8
1421715325180.00,31.9,15.8,25.2,27.3,44.4,18.1,18.1,33.3
1421715325184.00,65.5,15.8,25.2,9,8.3,18.1,21.2,41.1
1421715325186.00,1.6,14,12.5,28.9,21.1,18.1,19.6,34.8
1421715325199.00,65.5,12.3,0,24.2,26.8,18.1,0,30.2
1421715325211.00,30.2,14,26.8,27.3,18.2,18.1,60.8,63.4
1421715325215.00,65.5,15.8,25.2,27.3,26.8,18.1,0,31.7
1421715325217.00,65.5,15.8,25.2,3,0,19.8,32.9,36.4
1421715325220.00,11.6,14,51.4,30.5,23.7,19.8,31.4,34.8
1421715325240.00,30.2,15.8,23.6,24.2,29.4,63,42.2,17.9
