time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421716070793.00,0,0,0,0,0,0,0,0
1421716070802.00,0,0,0,0,0,0,0,0
1421716070811.00,0,0,0,0,0,0,0,0
1421716070819.00,0,0,0,0,0,0,0,0
1421716070823.00,0,0,0,0,0,1.6,0,0
1421716070826.00,0,0,0,1.6,0,0,0,0
1421716070829.00,1.6,0,3.4,0,0,8,0,0
1421716070843.00,1.6,0,0,1.6,0,3.2,0,0
1421716070845.00,1.6,0,0,0,0,3.2,0,1.6
1421716070870.00,1.6,0,0,0,0,3.2,0,0
1421716070877.00,1.6,0,0,1.6,0,3.2,1.7,0
1421716070897.00,1.6,0,0,0,6.5,3.2,1.7,1.6
1421716070904.00,1.6,0,0,0,3.3,3.2,1.7,0
1421716070910.00,1.6,0,0,0,6.5,3.2,1.7,0
1421716070924.00,0,0,0,1.6,6.5,4.8,3.4,0
1421716070938.00,0,0,0,0,6.5,4.8,1.7,1.6
1421716070942.00,0,0,1.7,0,6.5,3.2,1.7,1.6
1421716070946.00,0,0,1.7,0,6.5,3.2,1.7,1.6
1421716070950.00,0,0,1.7,0,6.5,3.2,1.7,1.6
1421716070954.00,0,0,1.7,0,6.5,3.2,1.7,1.6
1421716070957.00,3.1,1.7,0,0,4.9,3.2,1.7,1.6
1421716070961.00,0,0,1.7,6.2,6.5,3.2,1.7,1.6
1421716070974.00,0,0,1.7,6.2,6.5,4.8,1.7,1.6
1421716070980.00,0,0,1.7,6.2,6.5,4.8,1.7,1.6
1421716070990.00,0,0,0,6.2,6.5,4.8,1.7,0
1421716070998.00,0,6.9,1.7,6.2,6.5,4.8,1.7,1.6
1421716071013.00,3.1,8.6,1.7,10.9,6.5,4.8,1.7,1.6
1421716071017.00,0,8.6,1.7,6.2,6.5,4.8,1.7,1.6
1421716071020.00,0,10.4,1.7,6.2,6.5,3.2,1.7,1.6
1421716071023.00,0,6.9,1.7,6.2,6.5,4.8,1.7,1.6
1421716071028.00,1.5,6.9,1.7,6.2,6.5,4.8,1.7,1.6
1421716071031.00,1.5,6.9,1.7,6.2,6.5,8,0,1.6
1421716071039.00,1.5,6.9,1.7,9.3,6.5,4.8,0,3.2
1421716071046.00,1.5,6.9,1.7,7.7,6.5,4.8,1.7,1.6
1421716071049.00,1.5,6.9,1.7,6.2,6.5,3.2,1.7,1.6
1421716071053.00,1.5,8.6,1.7,7.7,6.5,1.6,1.7,1.6
1421716071061.00,1.5,6.9,1.7,6.2,6.5,6.4,1.7,1.6
1421716071077.00,1.5,8.6,0,6.2,6.5,3.2,1.7,1.6
1421716071080.00,1.5,6.9,3.3,6.2,6.5,3.2,0,1.6
1421716071083.00,0,8.6,3.3,6.2,6.5,3.2,0,1.6
1421716071093.00,3.1,6.9,3.3,6.2,6.5,3.2,0,1.6
1421716071096.00,3.1,6.9,3.3,6.2,6.5,3.2,0,1.6
1421716071099.00,3.1,6.9,3.3,6.2,6.5,3.2,0,1.6
1421716071113.00,3.1,6.9,3.3,6.2,6.5,3.2,0,1.6
1421716071126.00,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6
1421716071134.00,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6
1421716071165.00,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6
1421716071175.00,3.1,6.9,3.3,6.2,6.5,0,13.6,1.6
1421716071185.00,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6
1421716071196.00,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6
1421716071200.00,3.1,8.6,3.3,7.7,4.9,3.2,11.9,1.6
1421716071204.00,4.6,6.9,3.3,6.2,6.5,3.2,11.9,1.6
1421716071208.00,3.1,8.6,3.3,6.2,6.5,3.2,11.9,1.6
1421716071211.00,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6
1421716071216.00,3.1,0,6.7,6.2,4.9,3.2,13.6,0
1421716071219.00,3.1,6.9,3.3,6.2,6.5,3.2,11.9,1.6
1421716071228.00,3.1,6.9,6.7,4.6,4.9,6.4,11.9,1.6
1421716071231.00,4.6,8.6,0,6.2,6.5,3.2,11.9,1.6
1421716071233.00,4.6,8.6,3.3,6.2,6.5,1.6,10.2,1.6
1421716071236.00,1.5,6.9,3.3,10.9,6.5,3.2,11.9,1.6
1421716071243.00,4.6,10.4,3.3,6.2,6.5,3.2,11.9,1.6
1421716071245.00,3.1,8.6,0,6.2,6.5,3.2,11.9,1.6
1421716071248.00,4.6,8.6,0,6.2,6.5,3.2,11.9,0
1421716071257.00,4.6,8.6,5,6.2,6.5,3.2,11.9,9.6
1421716071261.00,4.6,8.6,5,6.2,6.5,3.2,11.9,9.6
1421716071263.00,4.6,8.6,5,6.2,6.5,3.2,11.9,9.6
1421716071266.00,4.6,8.6,5,6.2,6.5,3.2,11.9,8
1421716071268.00,4.6,8.6,5,6.2,4.9,3.2,11.9,9.6
1421716071272.00,4.6,8.6,5,6.2,4.9,3.2,11.9,9.6
1421716071275.00,4.6,8.6,3.3,6.2,6.5,3.2,11.9,9.6
1421716071287.00,4.6,8.6,5,6.2,6.5,3.2,11.9,9.6
1421716071291.00,4.6,8.6,5,6.2,4.9,3.2,11.9,9.6
1421716071296.00,4.6,8.6,5,6.2,4.9,3.2,11.9,8
1421716071303.00,6.2,8.6,5,6.2,6.5,3.2,11.9,9.6
1421716071306.00,6.2,8.6,5,6.2,6.5,3.2,11.9,9.6
1421716071309.00,6.2,10.4,5,6.2,6.5,3.2,11.9,8
