time_millisec,ax,ay,az
1421714473673.00,-1.0217752,3.28432,9.375604
1421714473690.00,-0.97342575,3.307522,9.128468
1421714473712.00,-1.1237133,3.162324,9.219028
1421714473722.00,-1.1243119,3.2858171,9.279802
1421714473742.00,-1.2766951,3.4087114,9.235794
1421714473763.00,-1.2326866,3.4132023,9.298663
1421714473782.00,-1.1482621,3.3862581,9.23295
1421714473803.00,-1.233435,3.3902998,9.475446
1421714473824.00,-1.2157718,3.4048197,9.327553
1421714473842.00,-1.2021501,3.493585,9.277857
1421714473864.00,-1.2945081,3.4281712,9.288784
1421714473883.00,-1.2266991,3.3934433,9.291628
1421714473904.00,-1.2153227,3.4636474,9.342522
1421714473924.00,-1.1389815,3.352279,9.285192
1421714473942.00,-0.9583072,3.478766,9.291778
1421714473963.00,-0.94812834,3.2831228,9.377849
1421714473982.00,-0.9960287,3.4458344,9.4474535
1421714474002.00,-1.2253518,3.3687446,9.486972
1421714474025.00,-1.2259506,3.1946566,9.558673
1421714474044.00,-1.13973,3.1629226,9.408535
1421714474062.00,-1.2413685,3.3784745,9.372609
1421714474083.00,-1.3211527,3.4673896,9.501492
1421714474102.00,-1.4600638,3.3953893,9.369466
1421714474122.00,-1.4121634,3.499872,9.351653
1421714474143.00,-1.2139755,3.4280214,9.197923
1421714474162.00,-1.2000545,3.4515226,9.229208
1421714474182.00,-1.1169772,3.3178506,9.140741
1421714474202.00,-1.0391392,3.2265403,9.144035
1421714474222.00,-1.1942166,3.280578,9.441167
1421714474245.00,-1.2642709,3.5545084,9.452992
1421714474262.00,-1.2989987,3.4182916,9.434731
1421714474281.00,-1.1578423,3.4477804,9.393866
1421714474302.00,-1.2699591,3.325335,9.33384
1421714474322.00,-1.2063414,3.2576756,9.425
1421714474344.00,-1.3063334,3.3989818,9.432934
1421714474364.00,-1.4371614,3.4560132,9.650881
1421714474383.00,-1.2560381,3.393144,9.518406
1421714474403.00,-1.2729529,3.3739839,9.484577
1421714474424.00,-1.2629237,3.2997382,9.377399
1421714474444.00,-1.0469229,3.1659164,9.422007
1421714474463.00,-1.1222163,3.3560212,9.402697
1421714474485.00,-1.1084449,3.1707065,9.286838
1421714474503.00,-1.087788,3.134482,9.3050995
1421714474524.00,-1.2088861,3.247347,9.347162
1421714474543.00,-1.3064831,3.3398547,9.447603
1421714474564.00,-1.2153227,3.2983909,9.579629
1421714474583.00,-1.3907579,3.4498758,9.590406
1421714474604.00,-1.4382092,3.3741333,9.350006
1421714474623.00,-1.3386662,3.4078133,9.388776
1421714474643.00,-1.2491524,3.3188982,9.315728
1421714474664.00,-1.1765534,3.2796798,9.374256
1421714474684.00,-1.14931,3.3525782,9.408086
1421714474703.00,-1.1871812,3.3382082,9.48293
1421714474725.00,-0.9767189,3.4447865,9.481583
1421714474745.00,-1.0377918,3.2792308,9.331445
1421714474763.00,-1.0618918,3.3799713,9.31977
1421714474783.00,-1.2524456,3.479664,9.316177
1421714474803.00,-1.133443,3.3112643,9.294771
1421714474823.00,-1.2040961,3.3932936,9.368269
1421714474844.00,-1.2412189,3.3870068,9.172027
1421714474863.00,-1.2889695,3.4708323,9.401649
1421714474883.00,-1.1958632,3.3922458,9.467812
1421714474905.00,-1.3236973,3.4506245,9.446856
1421714474923.00,-1.1825409,3.3486865,9.389824
1421714474943.00,-1.1735595,3.2895594,9.469459
1421714474963.00,-1.151705,3.3013847,9.467362
1421714474983.00,-1.0725197,3.374283,9.316626
1421714475003.00,-1.1572435,3.4712815,9.339528
1421714475023.00,-1.2711567,3.4299674,9.263038
1421714475045.00,-1.2504996,3.3874557,9.245673
1421714475063.00,-1.2088861,3.367098,9.356443
1421714475084.00,-1.1774515,3.4447865,9.472602
1421714475104.00,-1.0386901,3.2787817,9.514365
1421714475123.00,-1.271007,3.4154475,9.308991
1421714475143.00,-1.2015513,3.2389646,9.337133
1421714475163.00,-1.1319461,3.3352144,9.5037365
1421714475183.00,-1.1668236,3.3676968,9.234297
1421714475203.00,-1.3374687,3.2991395,9.428593
1421714475224.00,-1.2856765,3.3389566,9.272318
1421714475243.00,-1.1966116,3.2648606,9.498498
1421714475264.00,-1.2439133,3.2385154,9.408834
1421714475284.00,-1.2744498,3.3596137,9.448801
1421714475304.00,-1.1825409,3.3500335,9.533824
1421714475323.00,-1.3350737,3.3350646,9.485924
1421714475344.00,-1.1053015,3.2977922,9.316775
1421714475363.00,-1.2729529,3.3600626,9.350156
1421714475385.00,-1.1961626,3.2924035,9.341325
1421714475403.00,-1.1240126,3.3148568,9.294472
1421714475424.00,-1.2533437,3.0894256,9.262139
1421714475445.00,-1.2096345,3.3245864,9.3928175
1421714475463.00,-1.1078463,3.3617094,9.414223
1421714475491.00,-1.1948154,3.3615596,9.509425
1421714475520.00,-1.3090279,3.405119,9.405691
1421714475523.00,-1.2305909,3.4587076,9.3928175
1421714475543.00,-1.2103829,3.3262331,9.419013
1421714475562.00,-1.1885284,3.388803,9.437275
1421714475584.00,-1.2446617,3.2859669,9.321865
1421714475602.00,-1.1726614,3.2572265,9.386231
1421714475622.00,-1.1641291,3.2799792,9.411529
1421714475642.00,-1.2600796,3.299888,9.467063
1421714475662.00,-1.1963123,3.290757,9.401799
1421714475684.00,-1.3016931,3.2983909,9.486523
1421714475704.00,-1.1976595,3.3699422,9.4226055
1421714475722.00,-1.1424243,3.4194891,9.450149
1421714475743.00,-1.0937755,3.3256342,9.399104
1421714475762.00,-1.3165123,3.3706906,9.359886
1421714475784.00,-1.2193643,3.3097672,9.381291
1421714475806.00,-1.33687,3.2401621,9.239985
1421714475824.00,-1.2754976,3.3902998,9.440568
1421714475844.00,-1.2281959,3.3145573,9.445957
1421714475865.00,-1.1407777,3.3913476,9.490265
1421714475884.00,-1.0924283,3.3235388,9.378897
1421714475908.00,-1.1549982,3.3168027,9.3751545
1421714475924.00,-1.1783496,3.3567696,9.358988
1421714475943.00,-1.2546909,3.4618511,9.424702
1421714475964.00,-1.2448114,3.5039136,9.512269
1421714475983.00,-1.2543914,3.424878,9.538315
1421714476008.00,-1.3072315,3.369044,9.253906
1421714476028.00,-1.1431727,3.3938923,9.235794
1421714476051.00,-1.1126362,3.157534,9.358688
1421714476062.00,-1.133443,3.4783168,9.205707
1421714476082.00,-1.2600796,3.3154554,9.432634
1421714476102.00,-1.2504996,3.350333,9.460327
1421714476122.00,-1.2624747,3.2633638,9.409284
1421714476142.00,-1.2502002,3.2226484,9.2890835
1421714476165.00,-1.1530522,3.2778835,9.35345
1421714476181.00,-1.1247611,3.3498838,9.3536
1421714476202.00,-1.2921131,3.322491,9.288035
1421714476222.00,-1.1852353,3.4088612,9.398655
1421714476244.00,-1.3251942,3.453169,9.442365
1421714476263.00,-1.194965,3.3605118,9.403445
1421714476283.00,-1.2584331,3.2248938,9.505084
1421714476303.00,-1.2099339,3.3513808,9.365125
1421714476324.00,-1.1467652,3.2418087,9.489217
1421714476345.00,-1.1934682,3.2653098,9.38713
1421714476363.00,-1.1228151,3.2744408,9.416918
1421714476383.00,-1.1250604,3.2706985,9.330847
