time_milisec,ax,ay,az
1421715777570.00,-1.9902612,4.7662387,9.0325165
1421715777604.00,-1.9121237,4.908443,8.923543
1421715777615.00,-1.9766395,5.004244,8.725505
1421715777628.00,-1.8652711,5.0138235,8.5469265
1421715777651.00,-1.88024,4.9533496,8.432565
1421715777669.00,-1.6886384,4.906048,8.343799
1421715777688.00,-1.7488133,4.8859897,8.488548
1421715777708.00,-1.7368382,5.0150213,8.386311
1421715777728.00,-1.8784437,4.812642,8.584049
1421715777748.00,-1.6211288,4.7133985,8.945249
1421715777769.00,-1.5398479,4.7961764,8.785081
1421715777788.00,-1.6314573,4.8777566,8.474477
1421715777808.00,-1.6747174,4.992568,8.373437
1421715777828.00,-1.726809,4.947362,8.643476
1421715777848.00,-1.7673748,4.87626,8.821755
1421715777870.00,-1.869163,4.931345,8.974737
1421715777888.00,-1.8979033,5.0135245,8.827144
1421715777908.00,-1.7589922,4.945865,8.88642
1421715777928.00,-1.8232086,4.83285,8.760233
1421715777948.00,-1.886527,4.9422727,8.589139
1421715777968.00,-1.8910176,4.898114,8.633297
1421715777992.00,-1.7245637,4.9211664,8.605604
1421715778008.00,-1.7134868,4.797673,8.55007
1421715778028.00,-1.5331119,4.963678,8.707992
1421715778050.00,-1.719624,4.927902,8.580756
1421715778068.00,-1.7110918,4.9177237,8.455766
1421715778088.00,-1.5992743,4.8749127,8.579109
1421715778110.00,-1.6414865,4.9296985,8.563992
1421715778129.00,-1.6658858,4.8020144,8.671917
1421715778149.00,-1.672023,4.8907795,8.688382
1421715778169.00,-1.6271164,4.874314,8.660241
1421715778191.00,-1.7685722,4.9605346,8.735385
1421715778209.00,-1.801354,4.9633784,8.519383
1421715778229.00,-1.6019686,5.0201106,8.455766
1421715778248.00,-1.5796651,4.8811994,8.512348
1421715778268.00,-1.7012123,4.912634,8.64632
1421715778288.00,-1.882635,4.9840355,8.682994
1421715778310.00,-1.6480728,4.93374,8.6788025
1421715778327.00,-1.6349002,4.9537983,8.607251
1421715778348.00,-1.5527211,5.094057,8.31416
1421715778369.00,-1.4042299,5.0355287,8.2301855
1421715778388.00,-1.5108082,4.9422727,8.412207
1421715778408.00,-1.5867004,4.9994535,8.558602
1421715778428.00,-1.5191908,4.8662305,8.679851
1421715778448.00,-1.4786252,5.090614,8.532557
1421715778468.00,-1.4073733,5.0668135,8.582851
1421715778488.00,-1.361419,4.962181,8.671917
1421715778509.00,-1.4424005,4.8707213,8.520731
1421715778528.00,-1.4787749,4.8033614,8.62731
1421715778548.00,-1.4459931,4.835245,8.577912
1421715778568.00,-1.3844709,4.729415,8.831485
1421715778588.00,-1.4350657,4.6738806,8.704699
1421715778608.00,-1.3867164,5.0421147,8.585397
1421715778628.00,-1.5554155,5.001699,8.487949
1421715778648.00,-1.607058,5.1365685,8.717123
1421715778670.00,-1.499432,5.0364265,8.712782
1421715778688.00,-1.3683046,5.011279,8.71802
1421715778708.00,-1.6105009,5.02056,8.642727
1421715778728.00,-1.5408957,5.16935,8.729996
1421715778748.00,-1.4497353,5.0558863,8.66099
1421715778769.00,-1.4271322,4.8614407,8.688083
1421715778789.00,-1.3897101,4.871619,8.566536
1421715778809.00,-1.4894028,4.798422,8.510103
1421715778829.00,-1.3328284,4.739594,8.384514
1421715778849.00,-1.4175522,4.917574,8.484806
1421715778869.00,-1.3829741,5.0013995,8.621471
1421715778890.00,-1.4962884,4.9904723,8.566985
1421715778908.00,-1.5563136,5.048851,8.53046
1421715778928.00,-1.4597644,5.019063,8.492889
1421715778948.00,-1.6390915,5.0804353,8.441695
1421715778968.00,-1.7060024,5.1295333,8.491093
1421715778989.00,-1.6157401,5.032086,8.688532
1421715779008.00,-1.5349082,5.248386,8.616531
1421715779028.00,-1.5756235,5.1885104,8.3973875
1421715779049.00,-1.5106586,5.1879115,8.363708
1421715779130.00,-1.4919475,5.0249004,8.538993
1421715779132.00,-1.4970369,4.8409333,8.725505
1421715779133.00,-1.3909076,4.9009585,8.641231
1421715779135.00,-1.2005036,4.859195,8.653356
1421715779168.00,-1.1784993,4.981641,8.528665
1421715779169.00,-1.2862751,5.0018487,8.512797
1421715779188.00,-1.323847,4.8307543,8.599168
1421715779215.00,-1.4557228,4.9436197,8.54977
1421715779273.00,-1.4543756,5.1024394,8.692274
1421715779274.00,-1.30319,4.8481183,8.579858
1421715779276.00,-1.4028827,5.0274453,8.598269
1421715779299.00,-1.5058686,4.997208,8.526569
1421715779348.00,-1.5410454,4.882846,8.622819
1421715779348.00,-1.5271243,5.1332755,8.754845
1421715779349.00,-1.6049625,5.115163,8.676108
1421715779387.00,-1.5673906,5.051695,8.569679
1421715779388.00,-1.6449294,5.0837283,8.516689
1421715779440.00,-1.4897021,4.878655,8.339607
1421715779441.00,-1.4355148,4.8759604,8.3659525
1421715779470.00,-1.4314733,4.878655,8.56444
1421715779471.00,-1.4166541,4.9087424,8.506511
1421715779501.00,-1.4778768,4.7692323,8.688981
1421715779507.00,-1.5364051,5.13582,8.7141285
1421715779529.00,-1.6479231,5.0964518,8.70889
1421715779549.00,-1.5254778,4.990622,8.660241
1421715779568.00,-1.5007792,5.1183066,8.574919
1421715779587.00,-1.5305672,5.0183144,8.299341
1421715779608.00,-1.572929,5.036726,8.405471
1421715779628.00,-1.7417779,5.1418076,8.551717
1421715779650.00,-1.7839901,5.199288,8.583001
1421715779668.00,-1.7028589,5.0713043,8.465197
1421715779750.00,-1.7134868,5.1224976,8.483309
1421715779751.00,-1.7794995,5.1154623,8.394993
1421715779752.00,-1.805246,5.1278863,8.447084
1421715779753.00,-1.7775536,5.3256254,8.316855
1421715779781.00,-1.7058526,5.5004616,8.409662
1421715779790.00,-1.7709672,5.2898498,8.629255
1421715779820.00,-1.8440154,5.150639,8.652457
1421715779828.00,-2.2980213,5.7779846,7.1455407
1421715779848.00,-1.748963,4.8310537,9.3453665
1421715779879.00,-1.8573376,4.964277,9.579779
1421715779894.00,-2.022145,5.240602,8.166867
1421715779938.00,-2.0597167,5.482499,8.042925
1421715779939.00,-1.8429675,5.41963,8.533006
1421715779948.00,-1.5126045,5.306016,8.289612
1421715779968.00,-1.4819183,5.2200947,7.806716
1421715779990.00,-1.7860858,5.3605027,7.9397893
1421715780012.00,-1.5623012,5.1798286,8.197254
1421715780032.00,-1.3721966,5.10708,8.437504
1421715780048.00,-1.2991484,4.835844,8.503517
1421715780068.00,-1.402733,4.878954,8.606802
1421715780088.00,-1.4780264,4.9630795,8.628357
1421715780108.00,-1.4859599,5.1443524,8.713381
1421715780128.00,-1.434916,5.0705557,8.685688
1421715780149.00,-1.5265256,5.090464,8.640931
1421715780169.00,-1.4651532,5.1106725,8.475824
1421715780189.00,-1.5293697,5.0144224,8.654103
1421715780208.00,-1.7027092,5.0346303,8.57402
1421715780228.00,-1.7390835,4.8585963,8.567584
1421715780248.00,-1.7073495,5.013674,8.687185
1421715780270.00,-1.5167958,4.9147296,8.653954
1421715780288.00,-1.5106586,4.8246174,8.731643
1421715780308.00,-1.3897101,4.733307,8.654403
1421715780328.00,-1.4028827,4.5747867,8.809331
1421715780348.00,-1.4162049,4.689598,8.8018465
1421715780373.00,-1.411415,4.541556,8.800948
1421715780388.00,-1.3424084,4.487668,8.760682
1421715780408.00,-1.5061679,4.6195436,8.712782
1421715780428.00,-1.5760726,4.886588,8.736432
1421715780451.00,-1.7579443,4.935237,8.472232
1421715780469.00,-1.7890795,5.101242,8.418045
1421715780495.00,-1.8534458,5.1289344,8.516989
1421715780510.00,-1.8449135,4.9648757,8.621471
1421715780528.00,-1.7438736,4.8563514,7.2756205
1421715780549.00,-2.070195,5.497468,8.072413
1421715780575.00,-2.2408402,5.0960026,8.422086
1421715780588.00,-1.7862355,4.292923,8.506062
1421715780621.00,-1.5944842,4.7572575,8.929082
1421715780639.00,-1.9856209,4.9885263,9.219028
1421715780655.00,-1.6871415,5.0103807,8.700956
1421715780680.00,-1.6595988,4.710554,8.349787
1421715780692.00,-1.5621514,4.691544,8.580906
1421715780708.00,-1.6259189,4.834197,8.585397
1421715780728.00,-1.6699274,4.8292575,8.53046
1421715780748.00,-1.7742604,4.8889832,8.698562
1421715780769.00,-1.9507434,4.784201,9.027128
1421715780788.00,-1.7959653,4.7139974,8.956176
1421715780808.00,-1.7757573,4.702172,8.623118
1421715780832.00,-1.7247134,4.9618816,8.519833
1421715780848.00,-1.7510587,4.8999104,8.492889
1421715780875.00,-1.773063,5.0313373,8.657696
1421715780889.00,-1.7107924,4.9943643,8.956475
1421715780908.00,-1.6968713,4.965025,8.67027
1421715780929.00,-1.522933,5.0590296,8.246501
1421715780948.00,-1.549877,4.869823,8.654552
1421715780968.00,-1.613345,4.79438,8.70395
1421715780989.00,-1.5097604,4.8873367,8.398136
1421715781009.00,-1.6690292,4.975653,8.281079
1421715781028.00,-1.853296,4.8674283,8.370443
1421715781049.00,-2.0483406,4.743336,8.561596
1421715781068.00,-2.015409,4.9599357,8.687933
1421715781088.00,-1.9850221,5.1474957,8.269703
1421715781144.00,-2.0622616,5.226831,8.1866255
1421715781145.00,-2.3020627,4.9762516,8.25713
1421715781148.00,-2.3237677,4.9599357,8.6318
1421715781174.00,-2.3574476,5.072352,8.510852
1421715781191.00,-2.445764,5.0498986,8.58854
1421715781211.00,-2.2653892,5.0461564,8.781339
1421715781243.00,-2.2667363,4.932543,8.566835
1421715781248.00,-2.3682253,5.0009503,8.653655
1421715781279.00,-2.304458,4.996011,8.526569
1421715781296.00,-2.3254142,5.0263977,8.273595
1421715781308.00,-2.4804919,5.0720525,8.09801
1421715781333.00,-2.4554937,4.979545,8.435858
1421715781377.00,-2.3586452,4.886738,8.489296
1421715781378.00,-2.357298,4.9648757,8.214767
1421715781400.00,-2.296225,5.028942,8.223898
1421715781415.00,-2.2285657,5.021158,8.304581
1421715781430.00,-2.0236418,4.86174,8.411907
1421715781470.00,-2.008673,4.7638435,8.471932
1421715781471.00,-2.1194427,4.867578,8.70889
1421715781491.00,-2.061064,4.907245,8.7761
1421715781508.00,-2.0670516,4.828509,8.80993
1421715781528.00,-1.9544857,4.7885423,8.804541
1421715781550.00,-2.0493882,4.8620396,8.7262535
1421715781568.00,-1.8164726,4.8388376,8.850495
1421715781588.00,-1.8112335,4.756958,8.803044
1421715781608.00,-1.9809805,4.6608577,8.715626
1421715781628.00,-2.0676503,4.506678,8.646021
1421715781654.00,-2.1800666,4.77522,8.578811
1421715781671.00,-2.444267,4.810846,8.549023
1421715781688.00,-2.3656805,4.874763,8.72296
1421715781708.00,-2.3754103,4.937033,8.900492
1421715781728.00,-2.3563998,4.8403344,8.611293
1421715781748.00,-2.4349864,4.9115863,8.887768
1421715781771.00,-2.3093977,4.8570995,8.82939
1421715781788.00,-2.1695883,4.6485834,8.929681
1421715781808.00,-1.9806812,4.510271,8.928483
1421715781829.00,-1.783092,4.5653563,9.02638
1421715781849.00,-1.6314573,4.6993275,8.7913685
1421715781869.00,-1.6772621,4.7427373,8.299341
1421715781892.00,-1.8329384,5.0492997,8.02137
1421715781908.00,-1.873055,5.2423983,8.06942
1421715781929.00,-1.90913,5.151238,8.08858
1421715781949.00,-1.8182689,5.1546807,8.281379
1421715781968.00,-1.6582516,5.093458,8.439899
1421715781989.00,-1.7395326,5.0325346,8.619526
1421715782008.00,-1.7868342,5.1633625,8.756341
1421715782028.00,-1.6042141,4.9826884,8.611443
1421715782048.00,-1.4470409,4.7609997,8.789572
1421715782068.00,-1.4693445,4.721781,8.759933
