time_milisec,gx,gy,gz
1421715015373.00,-0.046897735,-0.074609786,0.014921425
1421715015393.00,-0.033041574,-0.0842025,-0.011724833
1421715015405.00,0.02557993,-0.006395315,-0.011724833
1421715015424.00,0.03304104,0.029843649,-0.008526909
1421715015445.00,-0.020251475,-0.015988022,-0.020251475
1421715015465.00,-0.04476614,-0.050095126,-0.02238307
1421715015484.00,-0.025580462,-0.021317273,-0.00106633
1421715015505.00,0.005328985,-0.002132127,0.01705302
1421715015525.00,0.053291984,-0.01279063,0.014921425
1421715015544.00,0.058621503,-0.043700077,0.004263188
1421715015565.00,0.02131674,-0.05649044,-0.005329518
1421715015585.00,0.02131674,-0.034107372,-0.00106633
1421715015606.00,0.035172634,0.011724034,0.004263188
1421715015625.00,0.018119348,0.012789832,0.005328985
1421715015644.00,-0.025580462,-0.009593239,-0.003197924
1421715015664.00,-0.039436888,-0.009593239,-0.019185679
1421715015684.00,-0.028778385,-0.010659036,-0.014922224
1421715015704.00,-0.002132127,-0.008526909,-0.010659036
1421715015725.00,0.00959244,-0.013856427,-0.025580462
1421715015745.00,-0.013856427,-0.034107372,-0.039436888
1421715015764.00,-0.036239497,-0.039436888,-0.046897735
1421715015785.00,-0.029844182,-0.020251475,-0.049029328
1421715015804.00,-0.024514664,0.00959244,-0.028778385
1421715015826.00,0.018119348,0.041567683,-0.014922224
1421715015845.00,0.012789832,-0.004263721,-0.019185679
1421715015864.00,-0.020251475,-0.03837109,-0.009593239
1421715015885.00,-0.015988022,0.002131594,-0.013856427
1421715015905.00,0.007460579,0.053291984,0.004263188
1421715015924.00,0.001065797,0.035172634,0.010658237
1421715015948.00,-0.021317273,-0.01811988,-0.004263721
1421715015965.00,-0.013856427,-0.029844182,-0.003197924
1421715015984.00,-0.010659036,-0.019185679,0.013855628
1421715016005.00,-0.035173167,-0.028778385,0.010658237
1421715016024.00,-0.03837109,-0.031975776,-0.002132127
1421715016063.00,-0.01811988,-0.009593239,0.007460579
1421715016065.00,-0.008526909,0.00959244,0.018119348
1421715016084.00,-0.011724833,0,0.02557993
1421715016104.00,-0.011724833,0,0.03943609
1421715016131.00,0.006394783,0.02557993,0.047962997
1421715016145.00,0.046897203,0.050094593,0.041567683
1421715016165.00,0.040501885,0.015987223,0.018119348
1421715016185.00,0.015987223,-0.005329518,0.001065797
1421715016206.00,0.014921425,0.022382537,0.004263188
1421715016225.00,0.015987223,0.053291984,0.015987223
1421715016245.00,-0.007461112,0.02557993,0.015987223
1421715016265.00,-0.031975776,0.012789832,0.006394783
1421715016285.00,-0.005329518,0.023448335,0.011724034
1421715016306.00,0.023448335,0.050094593,0.01705302
1421715016324.00,0.01705302,0.024514131,0.013855628
1421715016345.00,0.004263188,0.007460579,0.00959244
1421715016366.00,0.005328985,0.008526376,0.026645726
1421715016385.00,0.00959244,0.029843649,0.024514131
1421715016405.00,0.012789832,0.050094593,0.028777853
1421715016426.00,0.004263188,0.014921425,0.054358315
1421715016444.00,0.013855628,-0.014922224,0.05116039
1421715016465.00,0.023448335,-0.006395315,0.020250943
1421715016484.00,0.030909447,0.01705302,0.014921425
1421715016505.00,0.03410684,0.03410684,0.022382537
1421715016527.00,0.020250943,0.01705302,0.012789832
1421715016544.00,0.022382537,-0.009593239,-0.010659036
1421715016565.00,0.024514131,-0.014922224,-0.021317273
1421715016587.00,0.029843649,-0.00106633,-0.017053818
1421715016605.00,0.014921425,-0.01279063,0
1421715016624.00,0.019185146,-0.003197924,0.005328985
1421715016644.00,0.02131674,0.002131594,0.008526376
1421715016665.00,0.027712055,-0.014922224,0.003197391
1421715016684.00,0.031975243,-0.036239497,0
1421715016704.00,0.036238696,-0.021317273,0.006394783
1421715016724.00,0.056489907,0.003197391,0.012789832
1421715016744.00,0.050094593,0.012789832,0.013855628
1421715016766.00,-0.003197924,-0.00106633,0.013855628
1421715016784.00,-0.020251475,-0.02238307,0.004263188
1421715016804.00,-0.003197924,0.006394783,0.001065797
1421715016825.00,0,0.019185146,0.014921425
1421715016844.00,0,-0.011724833,-0.00106633
1421715016864.00,0.003197391,-0.034107372,-0.026646258
1421715016884.00,0.018119348,-0.023448868,-0.049029328
1421715016904.00,0.00959244,-0.017053818,-0.058622036
1421715016926.00,-0.014922224,-0.025580462,-0.07034633
1421715016955.00,-0.004263721,-0.029844182,-0.0831367
1421715016967.00,0.00959244,-0.03090998,-0.0937952
1421715016986.00,-0.003197924,-0.031975776,-0.094861
1421715017004.00,-0.002132127,-0.017053818,-0.0820709
1421715017025.00,0.011724034,0.006394783,-0.058622036
1421715017044.00,0.01705302,0,-0.050095126
1421715017066.00,0.019185146,-0.006395315,-0.054358847
1421715017084.00,0.031975243,0.001065797,-0.034107372
1421715017106.00,0.058621503,0.011724034,-0.015988022
1421715017125.00,0.05542411,0.013855628,-0.010659036
1421715017209.00,0.038370293,0,-0.011724833
1421715017210.00,0.030909447,0.005328985,-0.006395315
1421715017210.00,0.02557993,0.022382537,-0.002132127
1421715017211.00,0.023448335,0.02557993,0.013855628
1421715017270.00,0.01705302,0.022382537,0.008526376
1421715017275.00,-0.007461112,0.01705302,-0.007461112
1421715017276.00,-0.033041574,0.014921425,-0.00106633
1421715017286.00,-0.006395315,0.022382537,0.020250943
1421715017331.00,0.023448335,0.019185146,0.008526376
1421715017332.00,0.02131674,-0.015988022,-0.008526909
1421715017389.00,0.022382537,-0.011724833,-0.009593239
1421715017389.00,0.03943609,0.024514131,-0.008526909
1421715017389.00,0.026645726,0.037304495,-0.006395315
1421715017452.00,-0.014922224,-0.003197924,-0.00106633
1421715017457.00,-0.010659036,-0.028778385,-0.00106633
1421715017457.00,0.020250943,0.002131594,0.001065797
1421715017492.00,0.027712055,0.010658237,-0.00106633
1421715017493.00,0.00959244,-0.01811988,-0.008526909
1421715017562.00,0.005328985,-0.025580462,-0.017053818
1421715017562.00,0.023448335,-0.014922224,-0.015988022
1421715017563.00,0.026645726,0,-0.002132127
1421715017568.00,0.029843649,0.006394783,-0.006395315
1421715017628.00,0.03410684,0.011724034,-0.029844182
1421715017628.00,0.035172634,0,-0.037305295
1421715017629.00,0.028777853,-0.013856427,-0.045831937
1421715017677.00,0.06714814,0.020250943,-0.04796353
1421715017678.00,0.11617721,0.060753096,-0.058622036
1421715017729.00,0.08420196,0.03410684,-0.05222672
1421715017729.00,-0.12470465,-0.027712587,0.014921425
1421715017731.00,0.046897203,-0.07993878,-0.07674138
1421715017784.00,0.044765607,-0.034107372,-0.081005104
1421715017785.00,-0.04476614,0.001065797,0.012789832
1421715017786.00,0.023448335,-0.020251475,0.03410684
1421715017855.00,0.01705302,-0.058622036,0.015987223
1421715017856.00,-0.046897735,-0.06075363,0.044765607
1421715017856.00,-0.050095126,-0.015988022,0.105518706
1421715017866.00,0,0.015987223,0.119374864
1421715017938.00,-0.003197924,-0.024514664,0.0948602
1421715017938.00,-0.034107372,-0.06395155,0.07674085
1421715017939.00,-0.021317273,-0.037305295,0.08633356
1421715017946.00,0.024514131,0.012789832,0.09272861
1421715018006.00,-0.015988022,0.001065797,0.075675055
1421715018007.00,-0.0959268,-0.040502686,0.07993824
1421715018009.00,-0.10019025,-0.05649044,0.08953121
1421715018079.00,-0.06501735,-0.034107372,0.101255514
1421715018081.00,0.005328985,0.01705302,0.119374864
1421715018083.00,-0.01811988,-0.01811988,0.12577018
1421715018083.00,-0.07887298,-0.0937952,0.10871663
1421715018115.00,-0.08953201,-0.12363885,0.07674085
1421715018125.00,-0.039436888,-0.05649044,0.07674085
1421715018144.00,0.023448335,0.040501885,0.101255514
1421715018165.00,-0.006395315,0.007460579,0.10338711
1421715018184.00,-0.068214744,-0.05968783,0.07354346
1421715018209.00,-0.057556238,-0.03837109,0.028777853
1421715018226.00,-0.010659036,0.028777853,0.026645726
1421715018246.00,0.004263188,0.023448335,0.026645726
1421715018264.00,-0.008526909,-0.035173167,-0.009593239
1421715018285.00,0.006394783,-0.049029328,-0.053292517
1421715018307.00,0.031975243,-0.019185679,-0.061819427
1421715018324.00,0.04263348,-0.01279063,-0.051160924
1421715018344.00,0.030909447,-0.024514664,-0.0831367
1421715018364.00,-0.009593239,-0.040502686,-0.11724407
1421715018384.00,-0.021317273,-0.035173167,-0.099124454
1421715018405.00,0.015987223,-0.015988022,-0.09699259
1421715018424.00,0.041567683,-0.007461112,-0.10765136
1421715018446.00,0.010658237,-0.029844182,-0.094861
1421715018466.00,-0.002132127,-0.034107372,-0.07674138
1421715018484.00,0.046897203,-0.005329518,-0.074609786
1421715018504.00,0.060753096,0.002131594,-0.06395155
1421715018524.00,0.02557993,-0.01811988,-0.054358847
