time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421715017093.00,0,0,0,0,0,0,0,0
1421715017103.00,0,0,8.1,0,0,0,1.5,0
1421715017109.00,0,0,0,0,0,1.7,1.5,0
1421715017114.00,3.3,0,3.2,1.5,0,0,1.5,1.6
1421715017123.00,1.7,0,1.6,0,11.6,17.1,1.5,0
1421715017127.00,3.3,0,3.2,0,0,0,0,0
1421715017138.00,0,0,3.2,0,0,1.7,4.6,0
1421715017143.00,0,23.9,3.2,0,0,0,0,0
1421715017150.00,0,23.9,3.2,0,0,0,0,0
1421715017157.00,0,23.9,3.2,0,0,0,0,0
1421715017163.00,0,23.9,3.2,0,0,0,0,0
1421715017170.00,0,23.9,3.2,0,0,1.7,0,0
1421715017184.00,0,23.9,3.2,0,0,0,0,0
1421715017190.00,0,23.9,3.2,0,0,0,0,0
1421715017192.00,0,23.9,3.2,0,0,0,32.9,0
1421715017195.00,0,23.9,3.2,0,0,0,32.9,0
1421715017217.00,0,13.5,3.2,0,5.8,1.7,34.5,0
1421715017226.00,0,23.9,4.8,0,0,1.7,32.9,0
1421715017245.00,0,25.6,3.2,0,4.3,1.7,34.5,1.6
1421715017249.00,0,23.9,3.2,0,4.3,0,34.5,1.6
1421715017253.00,1.7,23.9,3.2,0,4.3,11.7,34.5,1.6
1421715017267.00,0,18.7,3.2,0,7.2,11.7,34.5,1.6
1421715017274.00,0,23.9,3.2,0,16,11.7,34.5,1.6
1421715017278.00,0,25.6,3.2,0,4.3,11.7,34.5,1.6
1421715017287.00,0,23.9,27.7,0,2.9,11.7,34.5,1.6
1421715017290.00,0,23.9,3.2,25.8,4.3,11.7,34.5,1.6
1421715017294.00,0,22.1,3.2,27.3,4.3,11.7,34.5,1.6
1421715017298.00,0,25.6,3.2,25.8,4.3,11.7,34.5,1.6
1421715017309.00,1.7,23.9,27.7,27.3,4.3,11.7,32.9,1.6
1421715017312.00,0,23.9,3.2,25.8,4.3,11.7,32.9,1.6
1421715017325.00,0,23.9,3.2,25.8,4.3,11.7,32.9,1.6
1421715017329.00,0,23.9,3.2,25.8,4.3,11.7,32.9,1.6
1421715017332.00,0,23.9,3.2,54.3,5.8,11.7,32.9,1.6
