time_milisec,ax,ay,az
1421631090428.00,-0.50265473,4.8368917,8.740923
1421631090443.00,-0.54501665,4.949308,8.715326
1421631090462.00,-0.49861312,5.0078363,8.748407
1421631090482.00,-0.47436357,4.9442186,8.737929
1421631090505.00,-0.33500335,4.839885,8.565488
1421631090524.00,-0.5107379,4.995861,8.674461
1421631090542.00,-0.52885026,5.0635204,8.617879
1421631090563.00,-0.515977,5.107828,8.641979
1421631090582.00,-0.398172,5.0998945,8.875343
1421631090603.00,-0.3983217,4.938979,8.724308
1421631090623.00,-0.38305342,4.849615,8.844956
1421631090642.00,-0.43304947,5.049749,8.796158
1421631090662.00,-0.5287006,5.1096244,8.784931
1421631090683.00,-0.5261558,4.995412,8.7576885
1421631090702.00,-0.40296203,4.905,8.754246
1421631090722.00,-0.42317,4.9262557,8.744665
1421631090742.00,-0.5071454,4.970863,8.691825
1421631090765.00,-0.6011499,5.040169,8.760532
1421631090782.00,-0.5348378,4.9988546,8.818761
1421631090802.00,-0.42317,4.850663,8.657547
1421631090822.00,-0.4312532,5.023104,8.460107
1421631090842.00,-0.37452117,5.0621734,8.590037
1421631090862.00,-0.4565506,4.9105387,8.69452
1421631090883.00,-0.40161484,4.7794113,8.72326
1421631090902.00,-0.44487488,4.7940807,8.653356
1421631090923.00,-0.42137375,4.786147,8.683144
1421631090944.00,-0.42646316,4.784201,8.904084
1421631090967.00,-0.46403503,4.9225135,9.04554
1421631091018.00,-0.38724473,5.0033455,8.817115
1421631091019.00,-0.4128415,5.1174083,8.6315
1421631091024.00,-0.5243596,5.0124764,8.622669
1421631091043.00,-0.57480466,5.225783,8.779243
1421631091065.00,-0.407303,4.988826,8.78089
1421631091083.00,-0.36449203,5.032385,8.676706
1421631091103.00,-0.39472917,4.9096403,8.589588
1421631091123.00,-0.43724075,4.9075446,8.567285
1421631091142.00,-0.4670288,4.968468,8.656649
1421631091164.00,-0.6941066,4.8946714,8.860075
1421631091184.00,-0.4391867,4.8111453,8.753647
1421631091203.00,-0.38978943,4.7892904,8.815019
1421631091223.00,-0.50220567,4.8946714,8.622819
