time_milisecc,gx,gy,gz
1421632145030.00,-0.03837109,-0.06501735,-0.014922224
1421632145040.00,-0.07141213,-0.049029328,-0.017053818
1421632145058.00,-0.094861,-0.041568484,-0.020251475
1421632145078.00,-0.07780718,-0.031975776,-0.021317273
1421632145097.00,-0.036239497,0.004263188,-0.008526909
1421632145118.00,-0.003197924,0.011724034,0.010658237
1421632145138.00,-0.020251475,0.037304495,0.007460579
1421632145158.00,-0.035173167,0.03943609,0
1421632145178.00,-0.04796353,0.024514131,-0.002132127
1421632145200.00,-0.051160924,-0.01811988,0.010658237
1421632145218.00,-0.017053818,-0.046897735,0.01705302
1421632145238.00,-0.004263721,-0.03090998,0.018119348
1421632145258.00,-0.22169697,-0.20251183,0.049028795
1421632145278.00,-0.2600678,-0.081005104,0.013855628
1421632145298.00,-0.087399885,-0.02238307,0
1421632145318.00,-0.05649044,-0.031975776,0
1421632145337.00,-0.046897735,-0.049029328,-0.010659036
1421632145358.00,-0.014922224,0.001065797,0.003197391
1421632145379.00,0.028777853,0.023448335,0.014921425
1421632145398.00,0.026645726,0.02131674,0.001065797
1421632145418.00,-0.009593239,0.001065797,-0.00106633
1421632145437.00,-0.015988022,-0.068214744,0.022382537
1421632145457.00,0.02557993,-0.01811988,0.01705302
1421632145478.00,0.005328985,0.063950755,-0.004263721
1421632145498.00,0.010658237,0.08420196,-0.021317273
1421632145519.00,0.08313616,0.03410684,-0.035173167
1421632145538.00,0.16733813,-0.040502686,-0.01279063
1421632145557.00,0.20144524,-0.07674138,-0.003197924
1421632145578.00,0.14708692,-0.05649044,-0.013856427
1421632145598.00,0.061818894,-0.04796353,-0.02238307
1421632145617.00,0.015987223,-0.037305295,-0.031975776
1421632145638.00,-0.029844182,0.026645726,-0.040502686
1421632145657.00,0.008526376,0.047962997,-0.031975776
1421632145679.00,0.07780665,0.028777853,-0.024514664
1421632145699.00,0.070345536,-0.02238307,-0.020251475
1421632145719.00,-0.00106633,-0.035173167,-0.024514664
1421632145739.00,-0.04476614,-0.024514664,-0.027712587
1421632145759.00,-0.04263428,0.037304495,-0.031975776
1421632145779.00,-0.013856427,0.052226186,-0.029844182
1421632145799.00,-0.00106633,-0.013856427,-0.015988022
1421632145820.00,-0.01811988,-0.041568484,-0.009593239
1421632145840.00,-0.013856427,-0.04263428,-0.006395315
1421632145859.00,-0.005329518,-0.028778385,-0.009593239
1421632145879.00,-0.020251475,0.003197391,0
1421632145899.00,-0.031975776,-0.009593239,0.007460579
1421632145920.00,-0.033041574,-0.03837109,0.022382537
1421632145939.00,-0.035173167,-0.049029328,0.02557993
1421632145959.00,-0.03837109,-0.033041574,0.018119348
1421632145979.00,-0.035173167,-0.003197924,0.020250943
1421632145999.00,-0.005329518,0.005328985,0.013855628
1421632146020.00,0,0.007460579,0.007460579
1421632146039.00,-0.006395315,-0.009593239,0.020250943
1421632146060.00,-0.005329518,-0.039436888,0.012789832
1421632146079.00,-0.002132127,-0.029844182,0.007460579
1421632146100.00,0.008526376,-0.021317273,0.008526376
1421632146119.00,-0.01279063,-0.013856427,-0.002132127
1421632146139.00,-0.04796353,0.003197391,-0.014922224
1421632146159.00,-0.028778385,0.02131674,-0.009593239
1421632146179.00,0.020250943,0.030909447,0
1421632146199.00,0.03943609,0.007460579,0.008526376
1421632146219.00,0.027712055,-0.043700077,0.004263188
1421632146253.00,-0.009593239,-0.057556238,-0.003197924
1421632146260.00,-0.024514664,-0.020251475,-0.004263721
1421632146279.00,-0.01811988,0.02131674,0.007460579
1421632146298.00,-0.031975776,0.026645726,0.001065797
1421632146317.00,-0.058622036,-0.002132127,-0.008526909
1421632146337.00,-0.07034633,-0.03837109,-0.015988022
1421632146360.00,-0.067148946,-0.05222672,-0.004263721
1421632146379.00,-0.061819427,-0.024514664,0.010658237
1421632146399.00,-0.04796353,-0.00106633,0.01705302
1421632146421.00,-0.024514664,0.014921425,0.006394783
1421632146439.00,-0.008526909,-0.017053818,0.002131594
1421632146460.00,-0.01279063,-0.020251475,0.00959244
1421632146481.00,0.001065797,-0.02238307,0.010658237
1421632146499.00,0.01705302,-0.008526909,0.003197391
1421632146518.00,0.011724034,0.002131594,-0.006395315
1421632146538.00,-0.01279063,0.00959244,-0.006395315
1421632146558.00,-0.014922224,0.004263188,-0.004263721
1421632146578.00,-0.00106633,-0.011724833,-0.003197924
1421632146598.00,0.001065797,0.004263188,0
1421632146619.00,0.002131594,0.004263188,0.002131594
1421632146638.00,0.010658237,0.019185146,-0.00106633
1421632146658.00,0.015987223,0.011724034,-0.01279063
1421632146677.00,0.002131594,0.005328985,-0.020251475
1421632146698.00,-0.020251475,-0.008526909,-0.011724833
1421632146717.00,-0.034107372,-0.036239497,0
1421632146738.00,-0.024514664,-0.05968783,-0.002132127
1421632146758.00,-0.019185679,-0.057556238,-0.002132127
1421632146779.00,-0.010659036,-0.074609786,0.002131594
1421632146798.00,-0.068214744,-0.105519235,0.026645726
1421632146819.00,-0.18012902,-0.13216549,0.036238696
1421632146838.00,-0.15668015,-0.15668015,0.029843649
1421632146861.00,-0.04796353,-0.17373398,0.112979814
1421632146897.00,-0.04263428,-0.20997268,0.09166281
1421632146911.00,0.012789832,-0.14495613,0.026645726
1421632146934.00,0.11191402,-0.18119483,-0.073543996
1421632146939.00,0.17160158,-0.16414127,-0.099124454
1421632146960.00,0.22063065,-0.15987755,0.057555705
1421632146977.00,0.1886554,-0.30909687,0.14282346
1421632146999.00,0.09805759,-0.21317007,0.123638056
1421632147023.00,-0.029844182,-0.25580436,0.18119429
1421632147037.00,-0.18865593,-0.39116722,0.21743326
1421632147059.00,-0.3165577,-0.35173088,0.18332589
1421632147077.00,-0.28884566,-0.36025777,-0.03837109
1421632147098.00,-0.28671405,-0.36025777,-0.21636799
1421632147117.00,-0.31016266,-0.5180032,-0.25154117
1421632147137.00,0.06927974,-0.4092866,-0.18332642
1421632147158.00,0.47430313,-0.057556238,-0.036239497
1421632147177.00,0.9240916,-0.07780718,0.056489907
1421632147197.00,1.2566367,-0.53505677,0.14921851
1421632147217.00,0.78446525,0.08526776,0.38583744
1421632147237.00,0.06501655,0.9347501,0.3709155
1421632147256.00,0.11084822,0.91663074,0.2494085
1421632147277.00,-0.025580462,0.8771944,0.2494085
1421632147296.00,-0.19185333,0.59687567,0.26433045
1421632147320.00,-0.21849959,0.47430313,0.2344868
1421632147338.00,-0.19078752,0.35919118,0.14815272
1421632147358.00,-0.19185333,0.30696446,0.07674085
1421632147382.00,-0.07674138,0.44659054,-0.028778385
1421632147403.00,0.003197391,0.4156811,-0.081005104
1421632147417.00,-0.04263428,0.1918528,-0.035173167
1421632147437.00,-0.099124454,-0.10765136,-0.09805839
1421632147457.00,-0.2835164,-0.51374,-0.24194846
1421632147477.00,-0.18439221,-0.3506651,-0.2664626
1421632147534.00,-0.06395155,-0.15987755,-0.24301425
1421632147534.00,0.03410684,0.004263188,-0.22702649
1421632147653.00,0.060753096,0.031975243,-0.17479977
1421632147654.00,0.047962997,-0.014922224,-0.15987755
1421632147654.00,0.01705302,-0.05542464,-0.17373398
1421632147655.00,0.006394783,0.037304495,-0.18439221
1421632147655.00,0.075675055,0.18545748,-0.14389032
1421632147656.00,0.15348223,0.27712083,-0.054358847
1421632147657.00,0.12790178,0.15348223,0.019185146
1421632147686.00,0.07887244,0.075675055,0.024514131
1421632147779.00,0.088465154,0.12470385,-0.015988022
1421632147779.00,0.10338711,0.1790627,-0.027712587
1421632147780.00,0.063950755,0.08633356,-0.00106633
1421632147780.00,0.035172634,-0.025580462,0.004263188
1421632147781.00,0.044765607,0.018119348,-0.01811988
1421632148031.00,0.06714814,0.09805759,-0.028778385
1421632148031.00,0.07460926,0.09166281,-0.041568484
1421632148032.00,0.087399356,0.11724327,-0.061819427
1421632148033.00,0.08313616,0.14495532,-0.061819427
1421632148033.00,0.093794405,0.14602113,-0.04476614
1421632148034.00,0.12577018,0.14708692,-0.049029328
1421632148035.00,0.16733813,0.20890635,-0.06395155
1421632148036.00,0.17586477,0.24301371,-0.04796353
1421632148037.00,0.1918528,0.2376842,-0.014922224
1421632148037.00,0.23235469,0.21103793,0.007460579
1421632148038.00,0.21956486,0.16733813,-0.025580462
1421632148038.00,0.1790627,0.123638056,-0.081005104
1421632148039.00,0.15667963,0.06288496,-0.09805839
1421632148062.00,0.12257226,0.03304104,-0.094861
1421632148131.00,-0.06395155,0.13323076,-0.035173167
1421632148132.00,0.057555705,0.028777853,0.029843649
1421632148132.00,0.018119348,-0.026646258,-0.017053818
1421632148138.00,-0.067148946,-0.041568484,0.023448335
1421632148168.00,-0.0831367,-0.013856427,0.038370293
1421632148228.00,-0.057556238,-0.00106633,0.052226186
1421632148228.00,-0.07141213,0.002131594,0.07780665
1421632148229.00,-0.122573055,-0.028778385,0.112979814
1421632148237.00,-0.14495613,-0.067148946,0.123638056
1421632148258.00,-0.08953201,-0.051160924,0.1065845
1421632148278.00,-0.05649044,0.001065797,0.08313616
1421632148298.00,-0.051160924,0.022382537,0.07674085
1421632148317.00,-0.053292517,0.022382537,0.06501655
1421632148337.00,-0.046897735,0.010658237,0.05116039
1421632148357.00,-0.08953201,-0.07887298,0.044765607
1421632148377.00,-0.10445344,-0.09699259,0.004263188
1421632148400.00,-0.0831367,-0.092729405,0.007460579
1421632148420.00,-0.023448868,-0.06501735,0.035172634
1421632148439.00,0.005328985,-0.011724833,0.026645726
1421632148457.00,-0.039436888,-0.06501735,0.018119348
1421632148477.00,-0.12683651,-0.15561436,0.031975243
1421632148498.00,-0.14495613,-0.16627286,0.022382537
1421632148519.00,-0.09059781,-0.10125605,-0.011724833
1421632148540.00,-0.041568484,-0.062885754,-0.011724833
1421632148559.00,-0.041568484,-0.10232185,0.004263188
1421632148580.00,-0.05649044,-0.13749501,0.002131594
1421632148599.00,-0.04263428,-0.1289681,-0.025580462
