time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421631091975.00,0,0,0,0,0,0,0,0
1421631091997.00,0,0,35.8,11.1,0,23.6,3.1,0
1421631092001.00,37.6,7,24.7,0,5.8,0,0,32.4
1421631092005.00,32.6,3.5,32.6,18.4,0,0,1.5,0
1421631092009.00,32.6,1.7,31,19.9,29.3,64.5,3.1,0
1421631092012.00,32.6,3.5,20,19.9,5.8,32.3,13.9,15.6
1421631092015.00,6.4,0,32.6,40.5,36.9,32.3,0,15.6
1421631092018.00,32.6,8.7,32.6,19.9,5.8,32.3,4.6,15.6
1421631092034.00,32.6,10.5,37.4,38.9,0,0,3.1,49.7
1421631092041.00,21,8.7,32.6,18.4,14.5,32.3,4.6,14.1
1421631092059.00,32.6,8.7,35.8,10.6,2.9,30.6,84.6,36.5
1421631092064.00,30.9,8.7,31,19.9,5.8,32.3,3.1,14.1
1421631092070.00,30.9,8.7,32.6,19.9,5.8,32.3,4.6,14.1
1421631092073.00,32.6,8.7,32.6,19.9,4.3,32.3,4.6,15.6
1421631092075.00,32.6,8.7,32.6,19.9,5.8,64.5,0,0
1421631092083.00,22.6,10.5,31,19.9,5.8,32.3,19.6,14.1
1421631092096.00,34.3,8.7,31,19.9,5.8,32.3,19.6,14.1
1421631092100.00,32.6,8.7,31,15.3,1.4,66.2,25.8,3.1
1421631092103.00,29.3,7,110.3,38.9,5.8,25.7,18.1,23.6
1421631092137.00,32.6,30.1,31,18.4,5.8,32.3,21.2,0
1421631092176.00,30.9,0,34.2,38.9,5.8,32.3,19.6,24.8
1421631092212.00,86.5,0,27.9,51.8,2.9,32.3,0,0
1421631092249.00,32.6,24,31,15.3,1.4,64.5,46.2,0
1421631092254.00,30.9,24,32.6,19.9,5.8,17.6,18.1,68
1421631092286.00,34.3,32.8,32.6,18.4,7.2,35.6,21.2,18.3
1421631092327.00,29.3,25.8,39,3,0,0,22.7,12.1
1421631092339.00,29.3,20.6,35.8,60,31.4,22.3,22.7,32.3
1421631092363.00,51.2,27.5,32.6,0,21.3,67.6,47.8,6
1421631092406.00,8,3.4,48.8,47.6,24.2,7.9,18.1,33.9
1421631092411.00,34.3,18.8,32.6,50.7,22.7,40.4,22.7,24.5
1421631092445.00,29.3,47.2,39,41.4,24.2,35.4,21.2,46.7
1421631092480.00,30.9,17.1,29.5,52.2,5.6,40.4,12,68
1421631092516.00,32.6,25.8,35.8,47.6,19.8,35.4,0,30.7
1421631092530.00,32.6,24,32.6,56.9,25.6,15.9,6,32.3
1421631092565.00,37.6,13.6,34.2,50.7,22.7,35.4,21.2,18.3
