time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421631096778.00,0,0,0,0,0,0,0,0
1421631096797.00,12.4,0,3.3,0,0,4.7,3.4,0
1421631096802.00,0,3.3,3.3,0,0,0,0,0
1421631096808.00,0,1.6,5,0,4.9,0,5,6.4
1421631096813.00,0,1.6,1.6,12.4,1.6,0,0,3.2
1421631096822.00,1.5,11.6,11.6,12.4,3.3,0,1.7,8
1421631096835.00,1.5,1.6,0,10.9,9.9,0,0,0
1421631096840.00,1.5,1.6,3.3,12.4,0,6.3,5,12.8
1421631096848.00,0,3.3,6.6,14,0,3.1,5,1.6
1421631096868.00,13.7,1.6,3.3,17.2,0,7.9,5,8
1421631096873.00,10.6,8.3,6.6,4.6,3.3,3.1,13.4,6.4
1421631096878.00,3,0,1.6,12.4,4.9,0,6.7,6.4
1421631096886.00,12.2,15,1.6,12.4,1.6,4.7,6.7,1.6
1421631096890.00,10.6,3.3,0,10.9,11.5,3.1,3.3,0
1421631096903.00,10.6,3.3,3.3,12.4,0,4.7,5,11.2
1421631096911.00,6.1,4.9,1.6,17.2,3.3,9.4,3.3,8
1421631096921.00,10.6,4.9,3.3,12.4,0,4.7,5,8
1421631096928.00,10.6,3.3,0,10.9,6.6,4.7,15.1,8
1421631096937.00,3,0,3.3,10.9,0,4.7,6.7,0
1421631096954.00,10.6,6.6,4.9,12.4,1.6,4.7,5,8
1421631096969.00,10.6,6.6,1.6,12.4,11.5,0,3.3,0
1421631096972.00,10.6,8.2,8.3,17.2,1.6,6.2,6.7,8
1421631096975.00,10.6,6.6,4.9,14,1.6,6.2,5,8
1421631096977.00,16.8,6.6,3.3,6.2,0,4.7,6.7,9.6
1421631096984.00,10.6,16.6,4.9,10.9,4.9,6.2,11.7,8
1421631096999.00,6.1,0,4.9,10.9,0,6.2,1.7,6.4
1421631097005.00,10.6,0,6.6,12.4,1.6,4.7,5,11.2
1421631097008.00,10.6,11.5,0,12.4,3.3,11,5,6.4
1421631097010.00,10.6,11.5,4.9,10.9,3.3,6.2,6.7,14.4
1421631097025.00,10.6,9.8,4.9,10.9,0,11,1.7,6.4
1421631097061.00,15.3,9.8,6.6,0,1.6,9.4,5,8
1421631097066.00,10.6,11.5,6.6,12.4,4.9,6.2,8.3,8
1421631097102.00,6.1,1.6,4.9,14,11.5,9.4,0,8
1421631097137.00,10.6,0,4.9,12.4,0,6.2,10,8
1421631097150.00,9.1,0,0,14,1.6,6.2,0,8
1421631097175.00,9.1,14.7,3.3,12.4,0,4.7,10,8
1421631097212.00,13.7,14.7,4.9,14,0,25.4,8.3,6.4
1421631097252.00,16.8,18,13.3,18.7,0,12.6,10,8
1421631097287.00,10.6,24.7,0,14,8.1,6.2,6.6,8
1421631097291.00,6.1,8.1,4.9,14,6.5,6.2,3.3,6.4
1421631097326.00,12.2,4.9,4.9,12.4,6.5,4.7,10,16
1421631097365.00,0,13,0,14,9.8,9.4,10,8
1421631097372.00,9.1,14.7,4.9,14,9.8,3.1,10,16
1421631097401.00,13.7,13,3.3,14,6.5,6.2,0,0
1421631097422.00,19.9,16.4,13.3,18.7,1.6,12.6,10,8
1421631097466.00,10.6,14.7,6.6,20.3,8.1,6.2,11.6,12.8
1421631097501.00,10.6,11.4,4.9,14,13.1,4.7,3.3,6.4
1421631097508.00,12.2,23,3.3,7.7,11.4,4.7,11.6,8
1421631097547.00,19.9,13,0,14,4.9,3.1,15,11.2
1421631097563.00,10.6,14.7,0,20.3,8.1,3.1,11.6,8
1421631097607.00,15.3,13,14.7,14,6.5,6.2,11.6,9.6
1421631097625.00,12.2,14.7,16.4,14,18.1,4.7,15,14.4
1421631097658.00,10.6,6.5,11.4,6.2,4.9,6.2,6.6,0
1421631097697.00,10.6,13,16.4,14,6.5,4.7,5,12.8
1421631097701.00,10.6,16.4,11.4,6.2,6.5,4.7,10,8
1421631097721.00,16.8,16.4,13,14,4.9,4.7,15,9.6
1421631097765.00,7.6,16.4,16.4,14,11.4,0,11.6,8
1421631097799.00,15.3,13,14.7,14,8.1,18.9,21.8,8
1421631097841.00,26.1,14.7,16.4,12.4,6.5,6.2,13.3,14.4
1421631097854.00,10.6,3.2,13,6.2,8.1,6.2,6.6,4.8
1421631097895.00,10.6,19.7,23,14,9.8,6.2,11.6,14.4
1421631097902.00,10.6,13,18,20.3,3.2,0,11.6,8
1421631097906.00,4.5,4.9,14.7,14,11.4,6.2,11.6,8
1421631097937.00,9.1,14.7,18,15.5,11.4,0,11.6,17.6
1421631097972.00,18.3,13,18,14,8.1,7.8,13.3,4.8
1421631098027.00,9.1,13,18,12.4,1.6,6.2,11.6,8
1421631098033.00,10.6,33.1,16.4,14,6.5,7.8,6.6,8
1421631098051.00,13.7,13,16.4,18.7,9.8,1.6,0,16
1421631098087.00,9.1,6.5,16.4,14,6.5,6.2,11.6,8
1421631098125.00,10.6,8.1,16.4,14,16.4,4.7,10,8
1421631098146.00,9.1,14.7,14.7,14,6.5,1.6,11.6,9.6
1421631098185.00,18.3,14.7,24.7,12.4,8.1,7.8,13.3,3.2
1421631098191.00,7.6,13,16.4,14,6.5,7.8,10,8
1421631098209.00,19.9,13,14.7,12.4,8.1,12.5,25.2,8
1421631098244.00,10.6,18,23,18.7,8.1,9.4,10,12.8
1421631098268.00,10.6,13,11.4,6.2,0,7.8,11.6,6.4
1421631098305.00,19.9,13,18,15.5,18,6.2,13.3,8
1421631098344.00,0,14.7,4.9,6.2,8.1,3.1,13.3,12.8
1421631098368.00,19.9,14.7,24.7,14,9.8,7.8,8.3,20.9
1421631098404.00,7.6,13,14.7,17.1,8.1,7.8,13.3,8
1421631098415.00,26.1,24.7,16.4,17.1,9.8,9.4,1.6,9.6
1421631098454.00,15.3,16.4,16.4,14,6.5,0,5,6.4
1421631098460.00,12.2,13,16.4,14,9.8,9.4,18.4,12.8
1421631098480.00,12.2,11.4,21.3,15.5,0,10.9,15,9.6
1421631098506.00,6.1,18,11.4,4.6,11.4,6.2,18.4,8
1421631098551.00,12.2,19.7,16.4,14,13,14.1,26.9,11.2
1421631098574.00,7.6,18,16.4,18.7,11.4,10.9,21.8,8
1421631098606.00,12.2,16.4,38.2,12.4,13,10.9,21.8,17.6
1421631098626.00,15.3,18,16.4,14,13,12.5,21.8,11.2
1421631098683.00,12.2,13,16.4,14,13,12.5,21.8,9.6
1421631098766.00,10.6,19.7,21.3,14,21.3,12.5,20.1,3.2
1421631098778.00,6.1,16.4,11.4,6.2,8.1,9.4,21.8,20.9
1421631098786.00,13.7,13,26.4,14,13,10.9,20.1,9.6
1421631098792.00,6.1,18,18,25,11.4,9.4,20.1,9.6
1421631098817.00,12.2,18,36.5,12.4,13,10.9,11.6,8
1421631098833.00,3,21.3,16.4,15.5,9.7,10.9,25.2,9.6
1421631098902.00,13.7,8.1,16.4,18.7,13,10.9,18.4,9.6
1421631098919.00,13.7,21.3,19.7,15.5,14.7,6.2,11.6,6.4
1421631098926.00,15.3,24.7,16.4,14,3.2,7.8,18.4,14.4
1421631098942.00,13.7,19.7,19.7,14,13,10.9,16.7,8
1421631098959.00,9.1,26.4,24.7,25,11.4,12.5,16.7,8
1421631099003.00,15.3,28,14.7,12.4,13,18.9,16.7,8
1421631099035.00,16.8,28,14.7,33.1,13,6.2,21.8,9.6
1421631099046.00,19.9,21.3,16.4,18.7,13,9.4,16.7,8
1421631099060.00,18.3,36.5,16.4,15.5,4.9,10.9,16.7,6.4
1421631099085.00,29.3,39.9,16.4,15.5,0,9.4,18.4,16
1421631099106.00,24.6,41.6,13,7.7,11.4,9.4,16.7,0
1421631099130.00,24.6,45.1,24.7,17.1,13,9.4,16.7,9.6
1421631099166.00,13.7,53.8,14.7,14,11.4,9.4,16.7,8
1421631099192.00,32.5,52,14.7,14,11.4,9.4,18.4,8
1421631099232.00,38.8,52,14.7,14,14.7,14.1,16.7,8
1421631099255.00,40.4,67.9,16.4,15.5,8.1,9.4,15,8
1421631099300.00,45.2,62.6,26.4,17.1,1.6,18.9,16.7,12.8
1421631099316.00,45.2,55.5,16.4,12.4,11.4,9.4,16.7,9.6
1421631099351.00,43.6,67.9,13,14,9.7,12.5,13.3,14.4
1421631099378.00,46.9,64.3,14.7,7.7,9.7,7.8,16.7,6.4
1421631099386.00,46.9,67.9,14.7,14,1.6,7.8,25.2,9.6
1421631099422.00,50.1,64.3,16.4,14,13,10.9,25.2,6.4
1421631099458.00,48.5,73.3,14.7,14,1.6,7.8,13.3,8
1421631099464.00,48.5,64.3,26.4,14,0,14.1,13.3,17.6
1421631099496.00,46.9,66.1,14.7,14,20.9,10.9,13.3,8
1421631099531.00,43.6,64.3,26.4,12.4,22.6,7.8,13.3,9.6
1421631099574.00,45.2,64.3,16.4,7.7,22.6,9.4,18.4,8
1421631099581.00,43.6,60.8,14.7,14,12.8,12.5,30.3,9.6
1421631099609.00,45.2,59,8.1,12.4,24.2,7.8,13.3,6.4
1421631099641.00,43.6,60.8,16.4,15.5,12.8,7.8,13.3,8
1421631099646.00,51.7,59,16.4,33.1,20.9,10.9,13.3,14.4
1421631099666.00,37.2,52,6.5,15.5,20.9,6.2,5,0
1421631099701.00,50.1,60.8,18,20.3,19.3,14.1,11.6,8
1421631099725.00,43.6,59,14.7,9.3,24.2,12.5,18.4,6.4
1421631099762.00,43.6,59,18,20.3,32.5,9.4,11.6,8
1421631099790.00,50.1,59,16.4,12.4,22.6,6.2,11.6,8
1421631099826.00,42,62.6,16.4,14,8,7.8,13.3,11.2
1421631099861.00,50.1,66.1,16.4,14,20.9,10.9,11.6,14.4
1421631099885.00,40.4,52,9.8,14,22.6,9.4,13.3,1.6
1421631099922.00,46.9,59,0,14,20.9,14.1,6.6,8
1421631099927.00,43.6,57.3,18,10.8,20.9,12.5,18.4,6.4
1421631099960.00,45.2,59,18,20.3,19.3,3.1,21.8,8
1421631099995.00,42,60.8,16.3,14,20.9,6.2,25.2,6.4
1421631100005.00,34,73.3,19.6,14,8,7.8,16.7,8
1421631100059.00,42,59,18,12.4,20.9,9.4,13.3,8
1421631100066.00,42,55.5,18,14,20.9,12.5,11.6,1.6
1421631100116.00,42,59,6.5,14,19.3,6.2,11.6,8
1421631100152.00,30.9,45.1,14.7,12.4,22.6,12.5,15,8
1421631100157.00,34,52,16.3,14,22.6,7.8,11.6,8
1421631100160.00,40.4,59,18,14,20.9,6.2,15,9.6
1421631100192.00,40.4,57.3,18,15.5,11.2,7.8,16.7,9.6
1421631100213.00,40.4,53.8,16.3,14,24.2,7.8,13.3,0
1421631100251.00,40.4,53.8,16.3,15.5,22.6,12.5,13.3,1.6
1421631100272.00,45.2,53.8,0,12.4,20.9,14.1,13.3,20.9
1421631100311.00,38.8,60.8,18,12.4,22.6,12.5,13.3,8
1421631100347.00,32.5,45.1,16.3,14,22.6,9.4,10,8
1421631100382.00,37.2,59,16.3,12.4,24.2,7.8,13.3,8
1421631100417.00,35.6,66.1,18,17.1,25.8,1.6,15,6.4
1421631100421.00,35.6,52,21.3,10.8,11.2,9.4,16.7,4.8
1421631100456.00,35.6,52,21.3,18.7,25.8,15.7,16.7,3.2
1421631100460.00,35.6,50.3,13,15.5,24.2,7.8,15,6.4
1421631100492.00,37.2,52,14.7,14,25.8,10.9,23.5,8
1421631100513.00,30.9,45.1,18,15.5,24.2,12.5,13.3,9.6
1421631100550.00,30.9,50.3,18,14,24.2,9.4,26.9,12.8
1421631100587.00,29.3,57.3,19.6,18.7,25.8,3.1,11.6,6.4
1421631100622.00,27.7,41.6,39.8,14,24.2,7.8,13.3,12.8
1421631100656.00,26.1,43.4,22.9,15.5,25.8,17.3,13.3,1.6
1421631100668.00,24.6,34.8,21.3,9.3,25.8,14.1,15,8
1421631100695.00,16.8,26.4,16.3,12.4,30.8,18.9,20.1,8
1421631100727.00,7.6,13,22.9,18.7,4.8,15.7,13.3,9.6
1421631100751.00,13.7,19.7,22.9,18.7,20.9,12.5,13.3,11.2
1421631100755.00,12.2,16.4,18,17.1,17.7,7.8,16.7,11.2
1421631100806.00,9.1,16.4,8.1,6.2,24.2,9.4,13.3,1.6
1421631100810.00,12.2,19.7,19.6,17.1,16,7.8,11.6,1.6
1421631100846.00,13.7,14.7,14.7,9.3,8,0,11.6,11.2
1421631100870.00,19.9,16.4,1.6,18.7,12.8,18.8,13.3,11.2
1421631100905.00,7.6,4.9,16.3,0,8,6.2,5,11.2
1421631100941.00,18.3,13,14.7,15.4,12.8,6.2,11.6,11.2
1421631100977.00,19.9,9.8,14.7,21.7,11.2,4.6,11.6,11.2
1421631101015.00,7.6,9.8,14.7,21.7,12.8,6.2,11.6,24.1
1421631101019.00,9.1,14.7,16.3,21.7,9.6,4.6,10,9.6
1421631101046.00,7.6,11.4,14.7,24.8,12.8,10.9,13.3,11.2
1421631101102.00,12.2,23,13,26.4,22.6,18.8,13.3,8
1421631101108.00,50.1,87.8,29.7,23.2,17.7,17.2,11.6,11.2
1421631101136.00,71.6,98.9,36.4,26.4,45.9,30,26.9,17.6
1421631101140.00,66.6,97,48.4,37.6,64.8,43,32,11.2
1421631101169.00,75,115.9,58.9,55.5,82.5,61.4,49.5,1.6
1421631101207.00,76.7,117.8,71.3,75.7,108,71.6,63.8,14.4
1421631101227.00,73.3,112.1,69.5,86,106.1,87.3,84,20.9
1421631101264.00,68.3,110.2,78.5,93,113.6,101.5,91.5,25.8
