time_milisec,ax,ay,az
1421104321064.00,-0.4514612,2.4483087,9.482032
1421104321083.00,-0.5373825,2.5831783,9.589508
1421104321095.00,-0.75847274,2.6580226,9.86763
1421104321115.00,-0.76281375,2.4716601,9.829759
1421104321135.00,-0.62554914,2.5959017,9.688453
1421104321155.00,-0.58109164,2.6475444,9.69459
1421104321176.00,-0.5683681,2.6340723,9.584419
1421104321196.00,-0.7301816,2.711162,9.72797
1421104321215.00,-0.6503975,2.690505,9.767039
1421104321236.00,-0.47181883,2.6604176,9.591904
1421104321256.00,-0.35221756,2.6680517,9.5616665
1421104321276.00,-0.45699966,2.8036697,9.479637
1421104321306.00,-0.41388932,2.7755282,9.563313
1421104321316.00,-0.46942383,2.7210417,9.630524
1421104321336.00,-0.41598496,2.772684,9.577983
1421104321356.00,-0.34308654,2.704426,9.527088
1421104321376.00,-0.44637176,2.9807515,9.449849
1421104321396.00,-0.53528684,2.8946805,9.522597
1421104321416.00,-0.7240443,2.7246342,9.606573
1421104321438.00,-0.5354366,2.815046,9.71854
1421104321456.00,-0.57390654,2.793491,9.563014
1421104321475.00,-0.57929534,2.8346553,9.473649
1421104321495.00,-0.48139894,2.8707304,9.446556
1421104321516.00,-0.5264552,2.883304,9.575288
1421104321536.00,-0.43215135,2.8520193,9.684261
1421104321556.00,-0.53109556,2.8062143,9.441317
1421104321575.00,-0.46553192,2.802173,9.334439
1421104321596.00,-0.5560936,2.767445,9.282646
1421104321618.00,-0.64545774,2.8165429,9.354796
1421104321636.00,-0.628992,2.8120522,9.464069
1421104321655.00,-0.4778064,2.8635452,9.429641
1421104321675.00,-0.549657,2.8623476,9.744586
1421104321699.00,-0.5903723,2.8496242,9.897119
1421104321715.00,-0.72494245,2.7295737,9.698781
1421104321735.00,-0.56028485,2.8518696,9.562715
1421104321755.00,-0.5510042,2.873275,9.562415
1421104321775.00,-0.57660097,2.7945387,9.700578
1421104321795.00,-0.6066884,2.905009,9.625434
1421104321815.00,-0.5798941,2.8894415,9.507479
1421104321836.00,-0.5403763,2.836751,9.359587
1421104321855.00,-0.5737569,2.707869,9.525442
1421104321875.00,-0.64860123,2.799179,9.58382
1421104321895.00,-0.69889665,2.7298732,9.844278
1421104321915.00,-0.7563771,2.725083,9.721833
1421104321936.00,-0.50265473,2.5162673,9.748478
1421104321957.00,-0.74904233,2.895878,9.751322
1421104321977.00,-0.49307466,2.6553283,9.826466
1421104321997.00,-0.41942778,2.7496321,9.649833
1421104322017.00,-0.38365218,2.9020152,9.651031
1421104322037.00,-0.631387,2.7818153,9.731414
1421104322056.00,-0.7379654,2.6517358,9.705816
1421104322076.00,-0.74829394,2.6890082,9.854308
1421104322097.00,-0.6933582,2.688559,9.81464
1421104322116.00,-0.66940796,2.80352,9.60313
1421104322136.00,-0.69246,2.757416,9.489816
1421104322156.00,-0.6104306,2.6129663,9.426647
1421104322176.00,-0.7250922,2.757865,9.541159
1421104322197.00,-0.73152876,2.665956,9.647887
1421104322216.00,-0.5189708,2.6279352,9.702823
1421104322236.00,-0.60743684,2.6821225,9.684112
1421104322256.00,-0.80787003,2.6602678,9.749975
1421104322276.00,-0.68722093,2.6934988,9.74713
1421104322296.00,-0.7003935,2.535727,9.524095
1421104322317.00,-0.74919206,2.6653574,9.485774
1421104322337.00,-0.85502195,2.5447083,9.700129
1421104322355.00,-0.9038205,2.4730074,9.628278
1421104322376.00,-0.7391629,2.6909542,9.54535
1421104322396.00,-0.6971004,2.5051904,9.297615
1421104322416.00,-0.780477,2.6156607,9.507928
1421104322436.00,-0.7367679,2.7695408,9.72363
1421104322456.00,-0.5601352,2.4932153,9.684561
1421104322477.00,-0.62569886,2.5466542,9.676627
1421104322497.00,-0.7222481,2.5210574,9.653126
1421104322579.00,-0.81700104,2.5744963,9.645941
1421104322580.00,-0.8674461,2.530338,9.642199
1421104322581.00,-0.7020401,2.6146128,9.419013
1421104322584.00,-0.7143146,2.4692652,9.548643
1421104322595.00,-0.80307996,2.5650659,9.649982
1421104322642.00,-0.8339159,2.5756938,9.8833475
1421104322642.00,-0.8571176,2.6041346,9.8817005
1421104322691.00,-0.6471043,2.6690996,9.683363
1421104322692.00,-0.6572832,2.6791286,9.66061
1421104322697.00,-0.5930667,2.5216563,9.6582155
1421104322716.00,-0.7048842,2.5195606,9.763597
1421104322754.00,-0.5797444,2.7481353,9.825119
1421104322758.00,-0.53453845,2.5927584,9.72363
1421104322805.00,-0.4260141,2.5728498,9.605375
1421104322806.00,-0.71820647,2.6397605,9.41587
1421104322815.00,-0.97462326,2.6177564,9.785002
1421104322850.00,-0.6542894,2.5090823,9.881252
1421104322857.00,-0.5071454,2.459236,9.620194
1421104322902.00,-0.5601352,2.518363,9.31453
1421104322902.00,-0.65458876,2.450105,9.148226
1421104322915.00,-0.9937834,2.2059627,9.436377
1421104322963.00,-1.1952645,2.2773643,9.763147
1421104322963.00,-0.93360853,2.4830365,10.387948
1421104323026.00,-0.00239502,2.6725423,9.979747
1421104323026.00,0.4923262,3.8636155,10.151889
1421104323027.00,0.678539,4.1212296,8.974737
1421104323036.00,1.8278489,1.4929953,10.676548
1421104323071.00,3.4591568,3.9219942,8.534652
1421104323079.00,2.2430854,6.3098288,7.722441
1421104323121.00,0.1818718,4.7957273,7.00154
1421104323122.00,-2.0550764,5.503755,5.9929376
1421104323136.00,-3.06802,6.8608327,6.0044637
1421104323171.00,-1.1159294,5.253475,7.5564365
1421104323178.00,0.9331595,4.754563,10.303075
1421104323205.00,0.6538403,4.6985793,10.460248
1421104323272.00,-1.2540921,5.118007,8.599916
1421104323273.00,-2.060166,5.691165,7.8362045
1421104323274.00,-0.468376,5.545368,8.535999
1421104323284.00,-0.5108876,5.3780165,8.943152
1421104323352.00,-1.2774435,4.6660967,9.368717
1421104323353.00,-1.3850697,4.771927,8.495434
1421104323353.00,-0.9134006,5.270989,8.015831
1421104323361.00,-0.7566765,5.283862,7.7746825
1421104323398.00,-0.68662214,4.82327,8.071515
1421104323399.00,-1.499432,5.216652,9.373807
1421104323457.00,-1.2064911,4.810846,9.526639
1421104323458.00,-1.025218,5.2639537,8.678503
