time_milisec,gx,gy,gz
1421104321064.00,-0.041568484,-0.1289681,-0.12683651
1421104321083.00,-0.07034633,0.07887244,-0.1406924
1421104321095.00,-0.05542464,0.17799637,-0.073543996
1421104321115.00,0.050094593,0.13216496,0.010658237
1421104321135.00,0.112979814,0.029843649,0.04263348
1421104321155.00,0.119374864,-0.057556238,0.02557993
1421104321176.00,0.11724327,-0.067148946,0.002131594
1421104321196.00,0.15454803,-0.05222672,0.041567683
1421104321215.00,0.21530166,0.010658237,0.08313616
1421104321236.00,0.17373317,0.061818894,0.081004575
1421104321256.00,0.105518706,0.010658237,0.03410684
1421104321276.00,0.08633356,-0.036239497,0.026645726
1421104321306.00,0.059687298,-0.011724833,0.023448335
1421104321316.00,-0.013856427,0.060753096,0.04369928
1421104321336.00,-0.006395315,0.044765607,0.045831405
1421104321356.00,0.04369928,0.005328985,0.011724034
1421104321376.00,0.00959244,0.06608235,-0.029844182
1421104321396.00,-0.014922224,0.09272861,-0.013856427
1421104321416.00,0.024514131,0.005328985,0.002131594
1421104321438.00,0.04263348,-0.054358847,0.011724034
1421104321456.00,0.041567683,0.03304104,-0.002132127
1421104321475.00,0.026645726,0.09699179,0.011724034
1421104321495.00,0.011724034,0.09912392,0.044765607
1421104321516.00,0.002131594,0.07674085,0.04263348
1421104321536.00,0.052226186,0.019185146,0.056489907
1421104321556.00,0.12470385,-0.03837109,0.04263348
1421104321575.00,0.088465154,-0.024514664,-0.003197924
1421104321596.00,-0.013856427,0.038370293,-0.028778385
1421104321618.00,-0.067148946,0.046897203,-0.010659036
1421104321636.00,-0.062885754,0.010658237,-0.006395315
1421104321655.00,-0.061819427,0.014921425,-0.021317273
1421104321675.00,-0.075675584,0.045831405,-0.023448868
1421104321699.00,0.002131594,-0.020251475,-0.020251475
1421104321715.00,0.07780665,-0.045831937,-0.019185679
1421104321735.00,0.011724034,0.029843649,-0.005329518
1421104321755.00,-0.0959268,0.06288496,0.002131594
1421104321775.00,-0.06608315,0.026645726,-0.00106633
1421104321795.00,0.036238696,-0.011724833,-0.005329518
1421104321815.00,0.036238696,-0.007461112,-0.013856427
1421104321836.00,-0.067148946,0.03304104,-0.015988022
