time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421106074489.00,0,0,0,0,0,0,0,0
1421106074501.00,0,0,0,0,0,0,0,0
1421106074507.00,0,0,0,0,0,0,0,0
1421106074511.00,0,1.7,9.8,0,0,0,1.5,0
1421106074524.00,1.6,33.5,0,0,0,1.6,1.5,0
1421106074537.00,1.6,1.7,33.3,1.5,1.4,1.6,1.5,1.5
1421106074544.00,0,1.7,34.9,1.5,1.4,0,1.5,0
1421106074560.00,3.3,1.7,33.3,1.5,1.4,0,1.5,0
1421106074591.00,4.9,1.7,33.3,1.5,1.4,0,1.5,0
1421106074601.00,3.3,13.9,33.3,1.5,1.4,0,0,0
1421106074607.00,3.3,1.7,33.3,1.5,1.4,0,0,1.5
1421106074612.00,3.3,1.7,34.9,1.5,1.4,0,0,0
1421106074618.00,0,1.7,31.6,10.6,1.4,0,0,0
1421106074624.00,6.6,1.7,33.3,0,0,0,7.6,0
1421106074628.00,4.9,1.7,33.3,1.5,1.4,0,1.5,0
1421106074631.00,4.9,3.5,33.3,1.5,1.4,0,0,0
1421106074637.00,3.3,1.7,31.6,0,0,0,6,1.5
1421106074641.00,3.3,1.7,25.2,1.5,1.4,1.6,6,6.2
1421106074644.00,3.3,1.7,31.6,0,0,0,6,1.5
1421106074653.00,3.3,1.7,31.6,0,0,0,6,1.5
1421106074657.00,3.3,1.7,33.3,0,0,0,6,1.5
1421106074660.00,3.3,0,31.6,1.5,1.4,0,10.5,1.5
1421106074663.00,3.3,20.4,31.6,0,0,0,6,0
1421106074666.00,3.3,20.4,31.6,0,0,0,6,0
1421106074670.00,3.3,22.1,31.6,0,0,0,6,0
1421106074674.00,3.3,20.4,31.6,0,0,0,6,0
1421106074678.00,3.3,20.4,31.6,0,0,0,6,0
1421106074681.00,4.9,20.4,33.3,1.5,0,0,6,1.5
1421106074690.00,3.3,20.4,31.6,1.5,0,0,6,1.5
1421106074694.00,3.3,10.1,31.6,0,10.1,0,6,1.5
1421106074699.00,3.3,20.4,33.3,0,2.9,0,6,1.5
1421106074707.00,4.9,20.4,31.6,1.5,1.4,0,6,1.5
1421106074710.00,13.2,20.4,31.6,1.5,0,0,6,1.5
1421106074713.00,3.3,20.4,31.6,1.5,1.4,0,7.5,1.5
1421106074716.00,1.6,20.4,33.3,0,2.9,1.6,6,1.5
1421106074723.00,3.3,20.4,33.3,1.5,5.7,0,6,1.5
1421106074726.00,4.9,22.1,31.6,1.5,2.9,0,6,1.5
1421106074728.00,13.2,22.1,31.6,1.5,2.9,0,6,1.5
1421106074731.00,3.3,22.1,31.6,1.5,2.9,0,7.5,1.5
1421106074733.00,3.3,20.4,31.6,0,2.9,0,6,0
1421106074742.00,3.3,20.4,31.6,0,2.9,0,6,0
1421106074745.00,3.3,20.4,31.6,1.5,5.7,0,6,0
1421106074748.00,3.3,20.4,31.6,0,2.9,3.2,6,0
1421106074750.00,3.3,20.4,31.6,0,29.3,4.8,6,0
1421106074755.00,3.3,20.4,31.6,0,2.9,3.2,6,0
1421106074761.00,3.3,20.4,31.6,0,2.9,3.2,6,0
1421106074764.00,3.3,20.4,31.6,0,2.9,3.2,6,0
1421106074766.00,3.3,22.1,31.6,13.7,4.3,3.2,6,0
1421106074772.00,3.3,20.4,31.6,0,2.9,3.2,6,0
1421106074777.00,3.3,22.1,31.6,0,2.9,1.6,6,0
1421106074782.00,4.9,22.1,31.6,0,2.9,1.6,13.6,1.5
1421106074790.00,4.9,23.8,33.3,4.5,2.9,3.2,6,1.5
1421106074794.00,6.6,23.8,31.6,4.5,2.9,3.2,6,1.5
1421106074796.00,4.9,23.8,31.6,4.5,0,1.6,6,12.4
1421106074799.00,4.9,25.5,31.6,4.5,10,3.2,6,1.5
1421106074806.00,1.6,23.8,31.6,4.5,10,3.2,6,1.5
1421106074809.00,4.9,23.8,31.6,16.7,10,3.2,6,0
1421106074812.00,8.2,25.5,31.6,4.5,10,3.2,6,0
1421106074814.00,6.6,53.9,0,3,10,3.2,6,6.1
1421106074816.00,6.6,25.5,31.6,4.5,10,3.2,6,6.1
1421106074819.00,4.9,25.5,33.3,4.5,10,3.2,6,6.1
1421106074825.00,8.2,25.5,31.6,4.5,10,3.2,7.5,6.1
1421106074828.00,8.2,25.5,28.4,4.5,10,1.6,3,0
1421106074831.00,13.2,18.6,31.6,0,7.1,3.2,6,4.6
1421106074834.00,0,3.3,31.6,7.3,14.3,0,0,6.1
1421106074845.00,11.4,27.3,38.2,17.6,10,12.5,28.6,0
1421106074847.00,14.6,39.6,15.6,28.1,18.6,25.2,14.9,37.4
1421106074858.00,21.3,0,28.4,28.1,0,30,14.9,9.2
1421106074862.00,19.6,13.5,34.9,0,5.6,30,30.2,10.7
1421106074871.00,24.6,0,31.6,11.6,21.5,12.5,0,10.7
1421106074879.00,36.4,3.3,34.9,33.8,12.8,49.7,28,10.7
1421106074882.00,17.9,53.9,56.4,0,21.5,26.8,29.5,10.7
1421106074885.00,21.3,0,25.2,33.8,17.1,49.7,29.5,10.7
1421106074899.00,17.9,6.7,38.2,11.6,0,28.4,76.4,10.7
1421106074902.00,17.9,29,30,32.3,25.6,26.8,29.5,10.7
1421106074908.00,17.9,15.2,30,33.8,18.4,34.9,29.5,10.7
1421106074911.00,14.6,39.6,49.7,11.6,37.3,26.8,28,10.7
1421106074917.00,17.9,27.3,30,32.3,16.9,26.8,29.5,10.7
1421106074924.00,11.4,27.3,12.5,29.3,58.4,36.5,8.7,13.8
1421106074928.00,16.3,37.8,30,32.3,16.9,26.8,29.5,10.7
1421106074932.00,46.7,27.3,30,32.3,16.9,26.8,0,6.1
1421106074936.00,16.3,27.3,30,32.3,16.9,26.8,30.8,12.2
1421106074941.00,0,22.1,58.1,36.9,5.6,28.4,30.8,10.7
1421106074944.00,19.6,53.9,25.2,29.3,27.1,18.8,32.3,6.1
1421106074947.00,19.6,25.5,30,32.3,0,25.2,46,35.8
1421106074949.00,19.6,25.5,30,32.3,29.4,33.3,26.3,4.6
1421106074953.00,51.7,22.1,30,23.3,5.5,26.8,11.6,16.9
1421106074956.00,13,23.8,76.9,44.5,5.5,30,32.3,10.7
1421106074959.00,17.9,25.5,12.5,30.8,61.8,49.7,0,21.6
1421106074961.00,17.9,25.5,28.4,32.3,0,17.2,33.8,10.7
1421106074963.00,8.1,27.3,28.4,32.3,33.4,26.8,23.3,0
1421106074965.00,65.8,36,12.5,33.8,34.9,26.8,30.8,31.6
1421106074967.00,8.1,23.8,76.9,56.9,5.4,33.3,32.3,31.6
1421106074973.00,17.9,25.5,0,29.3,43.5,46.4,11.6,53.5
1421106074977.00,17.9,25.5,46.4,32.3,33.4,6.2,30.8,14.8
1421106074980.00,3.2,27.3,30,32.3,33.4,25.2,32.3,8.9
1421106074983.00,19.6,10.1,30,32.3,33.4,26.8,47.6,61.5
1421106074985.00,0,23.8,49.7,58.5,10.9,39.8,30.8,31.6
1421106074987.00,27.5,25.5,30,32.3,33.4,26.8,32.3,31.6
1421106074990.00,9.6,25.5,6.2,41.4,10.9,4.6,32.3,82.8
1421106075009.00,29.1,25.5,30,32.3,33.4,28.4,30.8,30
1421106075013.00,27.5,25.5,30,32.3,33.4,26.8,30.8,56.7
1421106075016.00,27.5,25.5,28.4,32.3,33.4,25.2,32.3,31.6
