time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421106746447.00,0,0,0,0,0,0,0,0
1421106746458.00,0,0,0,0,0,1.6,1.7,0
1421106746467.00,0,0,5.1,0,0,0,0,1.6
1421106746472.00,0,1.7,1.7,4.6,0,3.3,0,0
1421106746478.00,1.6,1.7,3.4,4.6,3.4,0,3.4,1.6
1421106746484.00,1.6,0,3.4,4.6,1.7,0,1.7,1.6
1421106746492.00,1.6,1.7,1.7,3.1,0,1.6,1.7,3.2
1421106746507.00,1.6,3.5,1.7,4.6,0,1.6,1.7,0
1421106746519.00,3.2,6.9,3.4,3.1,5.1,0,1.7,1.6
1421106746525.00,3.2,5.2,1.7,4.6,1.7,0,1.7,3.2
1421106746533.00,3.2,5.2,1.7,3.1,6.8,1.6,5.1,1.6
1421106746551.00,4.8,5.2,1.7,3.1,10.2,3.2,3.4,3.2
1421106746555.00,3.2,5.2,1.7,4.6,0,0,1.7,1.6
1421106746558.00,6.4,6.9,3.4,3.1,1.7,1.6,1.7,3.2
1421106746560.00,3.2,5.2,1.7,6.1,1.7,0,1.7,3.2
1421106746564.00,4.8,5.2,1.7,3.1,0,0,0,3.2
1421106746572.00,3.2,10.4,1.7,4.6,3.4,0,1.7,3.2
1421106746580.00,3.2,3.5,3.4,4.6,1.7,0,0,3.2
1421106746584.00,8,1.7,1.7,4.6,5,0,0,0
1421106746590.00,3.2,6.9,1.7,6.1,3.4,0,0,3.2
1421106746597.00,3.2,5.2,1.7,3.1,1.7,0,1.7,1.6
1421106746601.00,3.2,3.5,3.4,4.6,3.4,0,0,6.4
1421106746605.00,3.2,3.5,5.1,4.6,3.4,0,0,3.2
1421106746610.00,3.2,3.5,1.7,3.1,1.7,0,0,1.6
1421106746622.00,3.2,5.2,1.7,4.6,3.4,0,1.7,3.2
1421106746636.00,12.9,0,1.7,6.1,3.4,0,0,3.2
1421106746642.00,1.6,8.6,1.7,0,3.4,0,0,0
1421106746651.00,1.6,5.2,1.7,4.6,5,1.6,0,1.6
1421106746671.00,3.2,5.2,1.7,4.6,1.7,1.6,1.7,1.6
1421106746676.00,1.6,5.2,1.7,6.1,0,0,1.7,1.6
1421106746678.00,1.6,5.2,1.7,1.5,1.7,0,0,0
1421106746683.00,4.8,3.4,1.7,3.1,1.7,0,5,3.2
1421106746690.00,1.6,5.2,1.7,4.6,1.7,3.2,3.4,1.6
1421106746693.00,1.6,5.2,1.7,4.6,1.7,1.6,3.4,3.2
1421106746695.00,1.6,3.4,1.7,4.6,1.7,3.2,5,1.6
1421106746698.00,1.6,5.2,1.7,3.1,1.7,1.6,5,3.2
1421106746702.00,1.6,5.2,1.7,4.6,1.7,3.2,5,0
1421106746705.00,1.6,5.2,0,3.1,1.7,1.6,5,3.2
1421106746712.00,1.6,3.4,10.1,4.6,1.7,1.6,5,1.6
1421106746715.00,1.6,5.2,10.1,4.6,1.7,3.2,6.7,3.2
1421106746721.00,3.2,5.2,10.1,4.6,1.7,1.6,3.4,3.2
1421106746731.00,1.6,3.4,10.1,4.6,3.4,1.6,5,4.8
1421106746739.00,1.6,3.4,10.1,4.6,1.7,3.2,5,0
1421106746744.00,1.6,3.4,11.8,4.6,0,3.2,5,4.8
1421106746748.00,1.6,5.2,10.1,3.1,1.7,1.6,5,1.6
1421106746756.00,3.2,5.2,10.1,4.6,1.7,3.2,3.4,0
1421106746761.00,3.2,3.4,10.1,4.6,1.7,3.2,6.7,0
1421106746767.00,0,5.2,8.4,4.6,1.7,3.2,5,0
1421106746773.00,1.6,3.4,10.1,4.6,0,3.2,3.4,3.2
1421106746780.00,1.6,3.4,10.1,3.1,0,1.6,5,3.2
1421106746789.00,3.2,3.4,10.1,3.1,1.7,3.2,5,3.2
1421106746793.00,1.6,3.4,8.4,4.6,1.7,1.6,6.7,1.6
1421106746795.00,1.6,6.9,10.1,4.6,0,3.2,5,3.2
1421106746798.00,0,15.6,8.4,6.1,1.7,3.2,0,1.6
1421106746803.00,1.6,3.4,10.1,1.5,0,1.6,5,3.2
1421106746806.00,1.6,3.4,10.1,4.6,1.7,1.6,6.7,3.2
1421106746809.00,1.6,3.4,10.1,4.6,0,1.6,5,4.8
1421106746812.00,1.6,3.4,8.4,4.6,1.7,4.9,6.7,1.6
1421106746814.00,1.6,3.4,10.1,4.6,1.7,1.6,6.7,1.6
1421106746817.00,1.6,5.2,8.4,4.6,1.7,1.6,8.4,3.2
1421106746821.00,1.6,3.4,10.1,4.6,0,1.6,0,3.2
1421106746825.00,1.6,1.7,10.1,6.1,3.4,1.6,10,3.2
1421106746828.00,1.6,3.4,10.1,4.6,3.4,3.2,10,1.6
1421106746832.00,1.6,3.4,8.4,4.6,0,1.6,10,3.2
1421106746835.00,1.6,5.2,8.4,4.6,5,1.6,10,3.2
1421106746838.00,1.6,1.7,10.1,3.1,3.3,1.6,10,3.2
1421106746843.00,1.6,3.4,10.1,4.6,3.3,1.6,10,3.2
1421106746846.00,1.6,5.2,10.1,3.1,5,1.6,10,3.2
1421106746848.00,1.6,6.9,8.4,1.5,3.3,1.6,10,1.6
1421106746853.00,1.6,5.2,10.1,3.1,5,4.9,10,3.2
1421106746856.00,1.6,0,10.1,3.1,3.3,1.6,10,3.2
1421106746859.00,1.6,3.4,10.1,4.6,5,1.6,10,3.2
1421106746861.00,0,3.4,6.7,3.1,6.7,1.6,10,1.6
1421106746864.00,0,3.4,15.2,3.1,1.7,1.6,18.5,4.8
1421106746870.00,0,3.4,10.1,4.6,3.3,3.2,8.3,1.6
1421106746873.00,1.6,3.4,6.7,3.1,10.1,6.5,10,1.6
1421106746880.00,3.2,3.4,8.4,3.1,3.3,1.6,10,3.2
1421106746882.00,1.6,3.4,10.1,4.6,3.3,1.6,10,3.2
1421106746889.00,0,3.4,10.1,4.6,5,1.6,8.3,1.6
1421106746897.00,1.6,3.4,8.4,12.3,8.4,1.6,8.3,0
1421106746902.00,1.6,3.4,8.4,4.6,5,0,10,3.2
1421106746924.00,0,6.9,10.1,4.6,5,1.6,8.3,3.2
1421106746928.00,1.6,3.4,8.4,4.6,3.3,1.6,10,3.2
1421106746932.00,1.6,3.4,8.4,4.6,3.3,1.6,8.3,1.6
1421106746936.00,1.6,3.4,10.1,3.1,3.3,1.6,10,1.6
1421106746938.00,1.6,0,13.5,4.6,3.3,0,10,4.8
1421106746941.00,0,3.4,8.4,7.7,1.7,1.6,10,3.2
1421106746943.00,3.2,3.4,11.8,1.5,3.3,1.6,10,3.2
1421106746945.00,1.6,3.4,8.4,3.1,5,1.6,10,1.6
1421106746948.00,0,5.2,10.1,3.1,10.1,1.6,10,4.8
1421106746951.00,1.6,3.4,8.4,6.1,5,1.6,10,0
1421106746955.00,0,5.2,8.4,4.6,3.3,1.6,8.3,3.2
1421106746958.00,1.6,1.7,6.7,4.6,1.7,1.6,8.3,8
1421106746961.00,0,3.4,8.4,6.1,3.3,3.2,8.3,3.2
1421106746966.00,0,3.4,3.4,4.6,3.3,1.6,8.3,3.2
1421106746968.00,4.8,1.7,10.1,4.6,1.7,1.6,8.3,3.2
1421106746972.00,0,1.7,10.1,4.6,5,1.6,10,3.2
1421106746974.00,0,1.7,8.4,4.6,3.3,1.6,10,3.2
1421106746979.00,9.6,1.7,10.1,1.5,0,1.6,0,0
1421106746982.00,0,0,11.8,10.7,15.1,1.6,25.1,1.6
1421106746984.00,4.8,0,16.9,3.1,1.7,0,15,3.2
