time_milisec,ax,ay,az
1421110368658.00,-0.5493576,3.5655854,9.390722
1421110368676.00,-0.6518944,3.8657112,9.372909
1421110368698.00,-0.53678375,3.8957987,9.240734
1421110368716.00,-0.6391708,4.052373,9.130114
1421110368736.00,-0.6692583,3.9419029,9.059311
1421110368757.00,-0.46643007,3.9016366,9.130263
1421110368777.00,-0.6399193,3.971092,9.270822
1421110368797.00,-0.5505551,3.913462,9.246422
1421110368817.00,-0.5480104,3.8470001,9.298064
1421110368837.00,-0.5426216,3.8193078,9.301059
1421110368857.00,-0.53828067,3.7741017,9.165291
1421110368878.00,-0.5888754,3.907175,9.258247
1421110368897.00,-0.5300478,3.840264,9.209599
1421110368917.00,-0.5349875,3.9178028,9.100475
1421110368939.00,-0.62854296,3.8101766,9.069639
1421110368957.00,-0.53828067,3.7986507,9.0551195
1421110368977.00,-0.55010605,3.882626,9.131461
1421110368997.00,-0.49861312,3.8877153,9.204509
1421110369017.00,-0.5195696,3.8609211,9.091345
1421110369040.00,-0.8352631,3.7365298,9.142538
1421110369058.00,-0.4631369,3.8874161,9.114845
1421110369077.00,-0.5412744,3.7847297,8.967852
1421110369097.00,-0.7086264,3.8688548,9.092542
1421110369117.00,-0.5037025,3.7300932,9.020093
1421110369137.00,-0.6521938,3.8914576,9.470356
1421110369160.00,-0.6637198,3.7110827,9.271869
1421110369177.00,-0.73871386,3.7770956,9.392668
1421110369197.00,-0.81385756,3.7724552,9.415271
1421110369217.00,-0.74515045,3.7733533,9.226214
1421110369237.00,-0.023800507,3.3870068,9.205707
1421110369257.00,-0.9511221,3.583548,9.765244
1421110369277.00,-1.0584489,3.9119651,9.306597
1421110369299.00,-0.9241782,3.9194496,9.583072
1421110369319.00,-0.73048097,3.7824843,9.194929
1421110369339.00,-0.73601943,3.8565803,9.191037
1421110369359.00,-0.79035646,3.7742515,9.129365
1421110369379.00,-0.7432045,3.6848872,9.152267
1421110369399.00,-0.55639297,3.695665,9.044492
1421110369419.00,-0.49576905,3.555107,9.068442
1421110369439.00,-0.51043856,3.5905833,9.118138
1421110369459.00,-0.8403525,3.8866677,9.209299
1421110369479.00,-0.6493497,3.9683976,9.461824
1421110369499.00,-0.5185217,3.760031,9.613159
1421110369519.00,-0.38185593,3.4389486,9.205407
1421110369539.00,-0.21285737,3.401227,8.7038
1421110369559.00,-0.28620484,3.7351828,8.932375
1421110369579.00,-0.30416748,3.8760397,8.993149
1421110369599.00,-0.44786865,3.8815782,9.03132
1421110369619.00,-0.4429289,3.9306762,9.169782
1421110369639.00,-0.26764342,3.8127215,9.029523
1421110369659.00,-0.4369414,3.6036062,9.174421
1421110369680.00,-0.43319917,3.5851946,9.325008
1421110369708.00,-0.4763095,3.7107835,9.335187
1421110369720.00,-0.42541534,3.7010536,9.418414
1421110369737.00,-0.56342834,3.457061,9.306597
1421110369757.00,-0.45011398,3.6534526,9.554332
1421110369777.00,-0.43484575,3.5896852,9.455387
1421110369796.00,-0.23650818,3.546425,9.379944
1421110369818.00,-0.4790039,3.4495766,9.313931
1421110369838.00,-0.4736151,3.4667907,9.389375
1421110369858.00,-0.31135255,3.5943255,9.293873
1421110369879.00,-0.40640488,3.4468822,9.05033
1421110369898.00,-0.39083725,3.6386335,9.225915
1421110369919.00,-0.57390654,3.6786003,9.31962
1421110369938.00,-0.57540345,3.471431,9.380543
1421110369959.00,-0.4670288,3.5507662,9.497899
1421110369978.00,-0.47735733,3.5519636,9.385932
1421110369999.00,-0.4857399,3.5610948,9.306148
1421110370019.00,-0.47466293,3.5226247,9.289233
1421110370038.00,-0.6366261,3.595074,9.41587
1421110370059.00,-0.6728508,3.4540672,9.520502
1421110370079.00,-0.676593,3.6092944,9.307196
1421110370098.00,-0.60040146,3.7028499,9.223819
1421110370119.00,-0.6518944,3.8007462,9.284892
1421110370138.00,-0.66416883,3.674409,9.280401
1421110370162.00,-0.44951522,3.456163,9.31498
1421110370180.00,-0.6456075,3.4117053,9.511221
1421110370200.00,-0.671803,3.50571,9.341025
1421110370219.00,-0.658331,3.4712815,9.416319
1421110370240.00,-0.66536635,3.4543667,9.325907
1421110370260.00,-0.5530998,3.300187,9.145382
1421110370286.00,-0.6572832,3.6612365,9.28609
1421110370299.00,-0.71341646,3.588787,9.233399
1421110370322.00,-0.67210233,3.6417768,9.184152
1421110370337.00,-0.5640271,3.5762131,9.082812
1421110370357.00,-0.549657,3.6486626,9.29522
1421110370377.00,-0.5508545,3.5456767,9.444011
1421110370397.00,-0.62390256,3.3724868,9.465716
1421110370419.00,-0.51747394,3.50571,9.595346
1421110370439.00,-0.53289187,3.560047,9.352851
1421110370459.00,-0.62929136,3.6332445,9.412726
1421110370479.00,-0.49172744,3.5784585,9.222173
1421110370501.00,-0.583786,3.534001,9.14149
1421110370523.00,-0.5987549,3.4057178,9.1814575
1421110370556.00,-0.5622308,3.705694,9.264534
1421110370557.00,-0.6544391,3.4687366,9.448052
1421110370585.00,-0.5215155,3.307522,9.589658
1421110370601.00,-0.46687913,3.3855097,9.470506
1421110370618.00,-0.42945695,3.439248,9.384285
1421110370637.00,-0.3583548,3.4953814,9.209599
1421110370658.00,-0.52570677,3.5515146,9.323811
1421110370677.00,-0.42796004,3.529211,9.235045
1421110370703.00,-0.61028093,3.464246,9.22816
1421110370721.00,-0.6861731,3.4326618,9.440867
1421110370738.00,-0.70937485,3.4281712,9.514365
1421110370792.00,-0.68976563,3.3745825,9.409583
1421110370793.00,-0.6581813,3.5190322,9.369616
1421110370798.00,-0.57540345,3.5419345,9.364377
1421110370821.00,-0.52570677,3.608995,9.443113
1421110370844.00,-0.63932055,3.5193315,9.304502
1421110370876.00,-0.56193143,3.4513729,9.411978
1421110370877.00,-0.6942563,3.4149985,9.349857
1421110370897.00,-0.5441185,3.573369,9.36752
1421110370931.00,-0.6110294,3.4117053,9.259146
1421110370941.00,-0.7072792,3.4266741,9.375005
1421110370974.00,-0.56312895,3.3938923,9.34342
1421110370980.00,-0.64545774,3.387905,9.30974
1421110371023.00,-0.6237529,3.2428565,9.370664
1421110371024.00,-0.5839357,3.345543,9.328751
1421110371038.00,-0.69246,3.42862,9.374855
1421110371061.00,-0.8089178,3.4989738,9.504485
1421110371079.00,-0.72703815,3.418591,9.430988
