time_milisec,gx,gy,gz
1421109334802.00,-0.1279023,-0.028778385,0.112979814
1421109334820.00,-0.074609786,0.022382537,0.09912392
1421109334854.00,-0.067148946,0.038370293,0.09166281
1421109334855.00,-0.087399885,0.056489907,0.06288496
1421109334881.00,-0.1310997,0.030909447,0.070345536
1421109334888.00,-0.12150726,0.019185146,0.07674085
1421109334908.00,-0.05649044,0.08420196,0.046897203
1421109334931.00,-0.024514664,0.08313616,0.024514131
1421109334951.00,-0.068214744,-0.003197924,0.01705302
1421109334969.00,-0.099124454,-0.040502686,-0.005329518
1421109334990.00,-0.04476614,0.029843649,-0.025580462
1421109335010.00,0.022382537,0.123638056,-0.014922224
1421109335029.00,0.010658237,0.063950755,0.063950755
1421109335059.00,-0.035173167,-0.026646258,0.12896757
1421109335069.00,0.00959244,-0.021317273,0.14388953
1421109335089.00,0.061818894,0.013855628,0.15667963
1421109335109.00,0.08526776,0.03943609,0.17373317
1421109335131.00,0.09272861,0.04369928,0.1897212
1421109335152.00,0.09805759,0.011724034,0.20037943
1421109335170.00,0.09912392,-0.033041574,0.20144524
1421109335189.00,0.12257226,-0.035173167,0.18652327
1421109335209.00,0.11191402,-0.026646258,0.15881123
1421109335229.00,0.061818894,-0.017053818,0.13536288
1421109335248.00,0.020250943,-0.03837109,0.10338711
1421109335271.00,-0.021317273,-0.07034633,0.050094593
1421109335289.00,-0.034107372,-0.069280535,-0.027712587
1421109335308.00,-0.002132127,-0.040502686,-0.110848755
1421109335329.00,0.010658237,-0.021317273,-0.17693137
1421109335349.00,-0.015988022,-0.05222672,-0.1961165
1421109335368.00,-0.051160924,-0.10978296,-0.18972173
1421109335391.00,-0.014922224,-0.110848755,-0.21103847
1421109335409.00,0.09912392,-0.051160924,-0.23342155
1421109335429.00,0.13536288,-0.033041574,-0.23768473
1421109335449.00,0.061818894,-0.10871716,-0.2248949
1421109335469.00,-0.013856427,-0.15028511,-0.20784108
1421109335490.00,-0.027712587,-0.14389032,-0.1961165
1421109335510.00,-0.00106633,-0.12683651,-0.16200967
1421109335529.00,0.056489907,-0.099124454,-0.11511194
1421109335559.00,0.09059701,-0.07674138,-0.07993878
1421109335569.00,0.052226186,-0.061819427,-0.035173167
1421109335591.00,0.010658237,-0.067148946,-0.004263721
1421109335609.00,0.024514131,-0.0724782,-0.017053818
1421109335629.00,0.056489907,-0.049029328,-0.05968783
1421109335648.00,0.03304104,-0.04263428,-0.074609786
1421109335669.00,-0.028778385,-0.07993878,-0.05222672
1421109335690.00,-0.03837109,-0.06395155,-0.043700077
1421109335710.00,0.022382537,-0.02238307,-0.06501735
1421109335730.00,0.047962997,0.003197391,-0.09166361
