time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421109336093.00,0,0,0,0,0,0,0,0
1421109336107.00,0,0,0,0,44.6,14.5,3,0
1421109336114.00,0,50.5,6.4,4.5,0,0,9.2,3
1421109336123.00,0,0,4.8,41.9,22.5,23.8,0,0
1421109336127.00,18.8,20.2,6.4,0,22.5,84.7,28.9,11.8
1421109336131.00,17.1,22.1,8,10.5,23.9,0,13.5,56.7
1421109336141.00,20.6,27.7,8,10.5,23.9,28.6,15,0
1421109336147.00,17.1,22.1,8,12,23.9,28.6,16.6,37.6
1421109336154.00,20.6,22.1,8,12,25.4,30.2,15,37.6
1421109336160.00,18.8,24,6.4,0,22.5,46.6,41.5,11.8
1421109336164.00,18.8,20.2,11.3,57.8,23.9,28.6,15,25.3
1421109336176.00,20.6,27.7,8,56.3,23.9,26.9,16.6,11.8
1421109336189.00,17.1,20.2,8,56.3,23.9,28.6,15,37.6
1421109336194.00,18.8,14.7,3.2,59.4,8.3,28.6,15,36
1421109336198.00,17.1,20.2,6.4,28.3,22.5,46.6,22.7,11.8
1421109336205.00,18.8,22.1,8,57.8,23.9,28.6,15,36
1421109336210.00,22.3,11,8,56.3,23.9,26.9,15,36
1421109336213.00,18.8,27.7,6.4,51.8,23.9,28.6,15,40.7
1421109336218.00,17.1,3.6,6.4,93.7,50.3,0,25.8,36
1421109336240.00,18.8,9.1,9.7,22.5,19.6,31.6,24.2,37.6
1421109336246.00,18.8,20.2,6.4,56.3,23.9,25.2,0,34.5
1421109336250.00,6.8,20.2,3.2,45.8,25.4,25.2,49.6,36
1421109336265.00,13.6,20.2,54.9,56.3,23.9,31.6,32.6,74.2
1421109336271.00,27.5,0,1.6,68.5,44.4,12.5,52.7,36
1421109336278.00,15.4,0,12.9,22.5,14,33.3,67,59.6
1421109336293.00,18.8,18.4,8,57.8,23.9,31.6,5.8,32.9
1421109336304.00,43.5,0,16.2,56.3,23.9,31.6,31.1,34.5
1421109336308.00,13.6,18.4,0,57.8,23.9,31.6,32.6,36
1421109336313.00,13.6,0,6.3,59.4,21.1,25.2,65.4,36
1421109336315.00,13.6,16.5,17.6,57.8,0,30,41.8,39.1
1421109336332.00,13.6,14.7,17.6,56.3,12.6,33.3,5.8,34.5
1421109336377.00,0,14.7,17.6,56.3,23.9,105.3,59.1,37.6
1421109336382.00,6.8,14.7,25.7,57.8,23.9,30,29.6,36
1421109336423.00,13.6,14.7,0,56.3,6.9,34.9,40.3,37.6
1421109336462.00,15.4,29.6,50.2,57.8,0,30,65.4,34.5
1421109336501.00,25.8,12.8,22.2,57.8,23.9,33.3,23.6,36
1421109336508.00,18.8,0,53.6,56.3,23.9,33.3,31.1,36
1421109336515.00,0,12.8,65.5,56.3,23.9,18.8,20.6,36
1421109336559.00,18.7,7.3,0,54.8,34.1,36.5,28.1,37.6
