time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421109983511,18:46:23.506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.498,-1.430,-1.366,,
1421109983523,18:46:23.523,0.0,0.0,8.2,1.5,0.0,0.0,0.0,0.0,-1.493,-1.425,-1.371,,
1421109983529,18:46:23.529,1.6,0.0,8.2,1.5,0.0,3.1,0.0,1.6,-1.488,-1.430,-1.371,,
1421109983532,18:46:23.532,1.6,0.0,9.9,0.0,0.0,0.0,0.0,0.0,-1.488,-1.430,-1.371,,
1421109983539,18:46:23.539,1.6,0.0,9.9,1.5,1.6,1.6,0.0,0.0,-1.488,-1.425,-1.366,,
1421109983547,18:46:23.547,1.6,0.0,8.2,1.5,0.0,1.6,0.0,0.0,-1.488,-1.430,-1.371,,
1421109983554,18:46:23.554,3.1,0.0,8.2,1.5,1.6,1.6,1.7,0.0,-1.488,-1.430,-1.371,,
1421109983572,18:46:23.572,3.1,0.0,8.2,1.5,0.0,1.6,1.7,0.0,-1.483,-1.425,-1.376,,
1421109983582,18:46:23.582,1.6,1.7,8.2,1.5,0.0,3.1,3.4,6.4,-1.483,-1.425,-1.356,,
1421109983589,18:46:23.588,3.1,5.1,8.2,1.5,0.0,1.6,3.4,6.4,-1.488,-1.425,-1.366,,
1421109983598,18:46:23.598,4.7,3.4,8.2,1.5,4.9,3.1,3.4,6.4,-1.483,-1.425,-1.366,,
1421109983606,18:46:23.606,3.1,3.4,9.9,1.5,4.9,3.1,5.0,9.6,-1.483,-1.425,-1.366,,
1421109983612,18:46:23.612,4.7,3.4,9.9,1.5,8.1,6.3,3.4,3.2,-1.483,-1.449,-1.371,,
1421109983620,18:46:23.620,0.0,3.4,8.2,1.5,4.9,0.0,6.7,4.8,-1.483,-1.425,-1.366,,
1421109983623,18:46:23.623,3.1,1.7,9.9,1.5,4.9,1.6,6.7,6.4,-1.483,-1.430,-1.371,,
1421109983626,18:46:23.626,1.6,3.4,9.9,1.5,4.9,4.7,6.7,9.6,-1.483,-1.425,-1.371,,
1421109983632,18:46:23.632,0.0,3.4,11.5,0.0,3.2,3.1,6.7,6.4,-1.483,-1.430,-1.366,,
1421109983639,18:46:23.639,3.1,1.7,6.6,1.5,6.5,4.7,6.7,8.0,-1.483,-1.425,-1.361,,
1421109983643,18:46:23.642,3.1,1.7,9.9,0.0,4.9,7.9,6.7,8.0,-1.483,-1.425,-1.366,,
1421109983651,18:46:23.651,3.1,0.0,8.2,1.5,6.5,4.7,8.4,6.4,-1.493,-1.430,-1.366,,
1421109983656,18:46:23.655,3.1,0.0,8.2,0.0,6.5,4.7,8.4,6.4,-1.488,-1.430,-1.371,,
1421109983683,18:46:23.664,3.1,0.0,8.2,1.5,6.5,4.7,6.7,4.8,-1.488,-1.430,-1.371,,
1421109983697,18:46:23.697,3.1,0.0,8.2,1.5,8.1,3.1,5.0,6.4,-1.488,-1.430,-1.371,,
1421109983706,18:46:23.705,3.1,0.0,8.2,0.0,6.5,6.3,3.4,6.4,-1.483,-1.425,-1.371,,
1421109983709,18:46:23.709,1.6,0.0,8.2,1.5,6.5,4.7,6.7,4.8,-1.488,-1.430,-1.371,,
1421109983714,18:46:23.714,1.6,1.7,8.2,1.5,4.9,3.1,6.7,6.4,-1.488,-1.430,-1.371,,
1421109983722,18:46:23.722,1.6,1.7,8.2,3.1,6.5,3.1,5.0,4.8,-1.488,-1.430,-1.371,,
1421109983737,18:46:23.737,0.0,1.7,8.2,4.6,8.1,0.0,6.7,6.4,-1.488,-1.425,-1.366,,
1421109983743,18:46:23.743,3.1,0.0,8.2,3.1,6.5,14.1,5.0,6.4,-1.488,-1.430,-1.371,,
1421109983757,18:46:23.757,3.1,1.7,6.6,3.1,4.9,10.9,5.0,6.4,-1.488,-1.430,-1.371,,
1421109983767,18:46:23.764,3.1,1.7,8.2,3.1,6.5,14.1,5.0,9.6,-1.488,-1.425,-1.366,,
1421109983783,18:46:23.779,3.1,3.4,8.2,3.1,6.5,10.9,6.7,4.8,-1.483,-1.425,-1.366,,
1421109983793,18:46:23.793,3.1,1.7,8.2,3.1,4.9,12.5,5.0,6.4,-1.488,-1.425,-1.366,,
1421109983797,18:46:23.797,4.7,1.7,8.2,0.0,3.2,9.4,3.4,6.4,-1.483,-1.425,-1.366,,
1421109983811,18:46:23.810,1.6,3.4,8.2,0.0,3.2,10.9,5.0,4.8,-1.488,-1.425,-1.366,,
1421109983822,18:46:23.822,3.1,1.7,8.2,1.5,6.5,9.4,3.4,6.4,-1.483,-1.425,-1.366,,
1421109983826,18:46:23.826,4.7,3.4,8.2,6.2,1.6,10.9,5.0,4.8,-1.483,-1.425,-1.366,,
1421109983834,18:46:23.833,4.7,3.4,9.9,3.1,4.9,10.9,6.7,11.2,-1.488,-1.425,-1.361,,
1421109983844,18:46:23.844,4.7,3.4,8.2,6.2,4.9,9.4,3.4,6.4,-1.483,-1.425,-1.371,,
1421109983856,18:46:23.856,4.7,1.7,8.2,3.1,4.9,10.9,3.4,6.4,-1.483,-1.425,-1.366,,
1421109983876,18:46:23.875,4.7,3.4,8.2,3.1,4.9,10.9,5.0,8.0,-1.488,-1.425,-1.366,,
1421109983879,18:46:23.879,4.7,1.7,8.2,1.5,4.9,10.9,3.4,4.8,-1.488,-1.425,-1.366,,
1421109983885,18:46:23.884,4.7,3.4,8.2,0.0,4.9,9.4,6.7,4.8,-1.488,-1.420,-1.361,,
1421109983890,18:46:23.889,3.1,3.4,8.2,4.6,4.9,9.4,3.4,8.0,-1.488,-1.430,-1.371,,
1421109983893,18:46:23.893,4.7,5.1,9.9,4.6,8.1,9.4,1.7,6.4,-1.488,-1.430,-1.371,,
1421109983897,18:46:23.897,4.7,3.4,6.6,3.1,4.9,9.4,3.4,6.4,-1.488,-1.430,-1.371,,
1421109983906,18:46:23.905,4.7,5.1,6.6,4.6,3.2,10.9,3.4,6.4,-1.488,-1.430,-1.371,,
1421109983910,18:46:23.909,4.7,5.1,8.2,4.6,8.1,9.4,3.4,4.8,-1.488,-1.430,-1.371,,
1421109983912,18:46:23.912,4.7,5.1,8.2,4.6,3.2,7.8,3.4,6.4,-1.488,-1.430,-1.371,,
1421109983919,18:46:23.918,4.7,5.1,8.2,4.6,4.9,6.2,3.4,6.4,-1.488,-1.430,-1.371,,
1421109983924,18:46:23.923,4.7,3.4,8.2,4.6,3.2,9.4,3.4,6.4,-1.488,-1.430,-1.371,,
1421109983928,18:46:23.927,7.8,5.1,9.9,3.1,6.5,9.4,3.4,6.4,-1.488,-1.430,-1.371,,
1421109983930,18:46:23.930,4.7,3.4,8.2,4.6,4.9,9.4,3.4,4.8,-1.488,-1.430,-1.371,,
1421109983935,18:46:23.935,4.7,3.4,8.2,0.0,4.9,7.8,1.7,6.4,-1.488,-1.430,-1.371,,
1421109983938,18:46:23.938,3.1,5.1,8.2,4.6,4.9,9.4,1.7,6.4,-1.488,-1.425,-1.366,,
1421109983958,18:46:23.957,6.3,3.4,9.9,9.2,4.9,7.8,3.4,6.4,-1.483,-1.425,-1.366,,
1421109983970,18:46:23.970,4.7,1.7,8.2,6.1,3.2,12.5,0.0,9.6,-1.478,-1.425,-1.366,,
1421109983974,18:46:23.974,4.7,8.5,8.2,6.1,4.9,9.4,5.0,6.4,-1.483,-1.425,-1.361,,
1421109983980,18:46:23.980,4.7,3.4,9.9,6.1,3.2,7.8,5.0,6.4,-1.483,-1.425,-1.366,,
1421109983994,18:46:23.994,3.1,3.4,8.2,4.6,4.9,9.4,6.7,3.2,-1.483,-1.425,-1.366,,
1421109984000,18:46:24.000,3.1,1.7,8.2,6.1,4.9,7.8,5.0,4.8,-1.483,-1.425,-1.366,,
1421109984005,18:46:24.005,4.7,1.7,8.2,6.1,6.5,6.2,6.7,3.2,-1.474,-1.430,-1.361,,
1421109984020,18:46:24.018,3.1,0.0,8.2,4.6,4.9,10.9,3.3,4.8,-1.488,-1.425,-1.366,,
1421109984024,18:46:24.024,1.6,1.7,9.9,6.1,4.9,7.8,5.0,6.4,-1.483,-1.425,-1.366,,
1421109984030,18:46:24.030,3.1,1.7,8.2,7.7,0.0,6.2,5.0,6.4,-1.483,-1.425,-1.366,,
1421109984036,18:46:24.036,1.6,0.0,8.2,6.1,4.9,9.4,6.7,6.4,-1.483,-1.420,-1.371,,
1421109984042,18:46:24.042,1.6,1.7,8.2,6.1,3.2,9.4,6.7,3.2,-1.483,-1.425,-1.366,,
1421109984045,18:46:24.045,11.0,1.7,3.3,1.5,4.9,7.8,16.9,9.6,-1.498,-1.449,-1.361,,
1421109984048,18:46:24.048,0.0,6.8,8.2,6.1,9.8,6.2,5.0,1.6,-1.478,-1.464,-1.342,,
1421109984050,18:46:24.050,4.7,0.0,0.0,3.1,1.6,9.4,11.8,8.0,-1.488,-1.430,-1.361,,
1421109984053,18:46:24.053,6.2,8.5,8.2,6.1,4.9,3.1,11.8,14.4,-1.478,-1.425,-1.386,,
1421109984056,18:46:24.056,4.7,3.4,16.6,6.1,1.6,7.8,5.0,6.4,-1.454,-1.415,-1.366,,
1421109984059,18:46:24.059,4.7,3.4,8.2,6.1,4.9,0.0,6.7,11.2,-1.478,-1.425,-1.366,,
1421109984062,18:46:24.061,6.2,1.7,16.6,3.1,1.6,12.5,6.7,6.4,-1.503,-1.430,-1.366,,
1421109984064,18:46:24.064,1.6,5.1,11.5,9.2,4.9,7.8,11.8,8.0,-1.508,-1.430,-1.361,,
1421109984070,18:46:24.070,0.0,5.1,8.2,12.3,0.0,1.6,6.7,4.8,-1.488,-1.425,-1.347,,
1421109984073,18:46:24.073,15.4,0.0,8.2,6.1,3.2,9.4,15.2,12.8,-1.488,-1.430,-1.366,,
1421109984077,18:46:24.077,17.0,0.0,4.9,6.1,0.0,14.1,8.4,1.6,-1.483,-1.425,-1.405,,
1421109984079,18:46:24.079,15.4,5.1,16.6,6.1,17.7,9.4,6.7,8.0,-1.488,-1.430,-1.371,,
1421109984082,18:46:24.081,23.3,6.8,8.2,6.1,19.3,9.4,16.9,8.0,-1.469,-1.405,-1.361,,
1421109984084,18:46:24.084,17.0,3.4,8.2,6.1,19.3,17.3,6.7,6.4,-1.459,-1.430,-1.371,,
1421109984088,18:46:24.088,1.5,6.8,13.2,9.2,19.3,7.8,15.2,8.0,-1.562,-1.395,-1.361,,
1421109984093,18:46:24.093,0.0,6.8,8.2,4.6,17.7,4.7,5.0,6.4,-1.488,-1.425,-1.371,,
1421109984096,18:46:24.096,13.9,5.1,8.2,6.1,19.3,9.4,6.7,4.8,-1.488,-1.425,-1.366,,
1421109984099,18:46:24.099,15.4,0.0,4.9,6.1,0.0,14.1,6.7,3.2,-1.483,-1.425,-1.420,,
1421109984101,18:46:24.101,15.4,1.7,8.2,6.1,19.3,9.4,6.7,4.8,-1.483,-1.425,-1.366,,
1421109984361,18:46:24.361,13.9,3.4,8.2,6.1,19.3,9.4,3.3,8.0,-1.483,-1.430,-1.366,,
1421109984380,18:46:24.380,13.9,1.7,25.0,4.6,17.7,14.1,6.7,8.0,-1.503,-1.410,-1.371,,
1421109984385,18:46:24.385,15.4,3.4,8.2,4.6,20.9,7.8,5.0,6.4,-1.488,-1.425,-1.366,,
1421109984389,18:46:24.389,13.9,8.5,8.2,0.0,19.3,9.4,3.3,0.0,-1.478,-1.527,-1.347,,
1421109984393,18:46:24.392,13.9,3.4,6.6,0.0,17.7,10.9,0.0,11.2,-1.478,-1.415,-1.366,,
1421109984398,18:46:24.398,12.3,3.4,6.6,6.1,17.7,6.2,20.1,3.2,-1.478,-1.420,-1.410,,
1421109984402,18:46:24.402,13.9,11.9,9.9,6.1,22.6,9.4,13.3,8.0,-1.454,-1.435,-1.356,,
1421109984406,18:46:24.406,13.9,11.9,11.5,4.6,20.9,9.4,11.7,6.4,-1.483,-1.425,-1.366,,
1421109984411,18:46:24.411,15.4,1.7,6.6,6.1,17.7,14.1,13.3,6.4,-1.449,-1.435,-1.371,,
1421109984425,18:46:24.425,12.3,0.0,8.2,3.1,19.3,9.4,13.3,9.6,-1.498,-1.420,-1.361,,
1421109984432,18:46:24.432,18.6,5.1,9.9,10.8,17.7,12.5,11.7,6.4,-1.488,-1.430,-1.371,,
1421109984436,18:46:24.436,13.9,1.7,11.5,0.0,19.3,9.4,0.0,8.0,-1.483,-1.420,-1.366,,
1421109984440,18:46:24.440,13.9,0.0,3.3,7.7,4.8,0.0,11.7,3.2,-1.478,-1.425,-1.391,,
1421109984444,18:46:24.444,15.4,8.4,14.9,9.2,24.2,7.8,13.3,6.4,-1.483,-1.425,-1.449,,
1421109984447,18:46:24.447,13.9,6.7,4.9,7.7,29.1,14.1,10.0,0.0,-1.488,-1.425,-1.371,,
1421109984450,18:46:24.450,13.9,5.0,25.0,12.3,17.7,14.1,13.3,7.9,-1.542,-1.425,-1.371,,
1421109984453,18:46:24.453,18.6,0.0,4.9,6.1,17.7,17.3,13.3,3.2,-1.547,-1.391,-1.361,,
1421109984457,18:46:24.456,13.9,6.7,8.2,7.7,19.3,10.9,13.3,7.9,-1.483,-1.449,-1.366,,
1421109984473,18:46:24.467,17.0,11.8,11.5,0.0,24.2,7.8,11.7,7.9,-1.478,-1.425,-1.366,,
1421109984490,18:46:24.490,15.4,8.4,8.2,7.7,19.3,9.4,13.3,7.9,-1.488,-1.425,-1.366,,
1421109984494,18:46:24.493,13.9,11.8,6.6,9.2,17.7,7.8,13.3,6.3,-1.488,-1.425,-1.366,,
1421109984500,18:46:24.499,15.4,6.7,4.9,7.7,19.3,12.5,10.0,4.7,-1.488,-1.430,-1.371,,
1421109984510,18:46:24.510,13.9,8.4,3.3,6.1,17.7,7.8,13.3,4.7,-1.488,-1.425,-1.361,,
1421109984514,18:46:24.514,10.8,8.4,13.2,7.7,19.3,9.4,13.3,6.3,-1.493,-1.410,-1.361,,
1421109984523,18:46:24.523,13.9,8.4,8.2,7.7,20.9,6.2,11.7,6.3,-1.483,-1.425,-1.366,,
1421109984526,18:46:24.526,15.4,8.4,8.2,7.7,19.3,7.8,13.3,6.3,-1.483,-1.425,-1.366,,
1421109984529,18:46:24.529,15.4,8.4,8.2,7.7,19.3,10.9,15.0,6.3,-1.483,-1.430,-1.366,,
1421109984533,18:46:24.533,13.9,8.4,8.2,7.7,17.7,9.4,13.3,6.3,-1.488,-1.425,-1.366,,
1421109984536,18:46:24.536,13.9,10.1,4.9,7.7,17.7,12.5,11.7,7.9,-1.488,-1.430,-1.366,,
1421109984538,18:46:24.538,13.9,8.4,8.2,6.1,19.3,9.4,13.3,7.9,-1.488,-1.425,-1.366,,
1421109984541,18:46:24.540,10.8,8.4,9.9,6.1,17.7,7.8,13.3,7.9,-1.444,-1.395,-1.361,,
1421109984546,18:46:24.546,17.0,6.7,8.2,0.0,17.7,10.9,15.0,11.1,-1.483,-1.425,-1.361,,
1421109984551,18:46:24.551,13.9,6.7,6.6,6.1,22.6,9.4,18.4,6.3,-1.488,-1.425,-1.361,,
