time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421110374650.00,0,0,0,0,0,0,0,0
1421110374661.00,0,0,0,0,0,1.6,1.7,0
1421110374664.00,1.5,1.7,1.6,1.5,0,0,0,0
1421110374670.00,0,1.7,1.6,1.5,1.6,0,0,0
1421110374673.00,1.5,1.7,3.3,1.5,6.6,3.2,1.7,0
1421110374696.00,1.5,1.7,1.6,0,0,1.6,3.4,3.2
1421110374702.00,3.1,3.3,1.6,1.5,1.6,1.6,1.7,0
1421110374705.00,3.1,3.3,1.6,3.1,4.9,0,1.7,1.6
1421110374710.00,1.5,6.7,1.6,0,1.6,1.6,0,0
1421110374729.00,3.1,3.3,1.6,1.5,0,1.6,0,1.6
1421110374736.00,3.1,1.7,1.6,1.5,1.6,1.6,1.7,0
1421110374748.00,6.1,1.7,1.6,1.5,1.6,3.2,0,0
1421110374759.00,4.6,5,1.6,0,1.6,1.6,1.7,1.6
1421110374762.00,3.1,6.7,0,0,1.6,1.6,0,0
1421110374772.00,3.1,5,1.6,1.5,1.6,1.6,3.4,0
1421110374794.00,1.5,5,1.6,1.5,0,1.6,0,0
1421110374809.00,6.1,5,1.6,1.5,1.6,0,1.7,0
1421110374813.00,3.1,5,1.6,1.5,0,1.6,0,1.6
1421110374816.00,3.1,5,1.6,1.5,1.6,3.2,1.7,0
1421110374821.00,3.1,3.3,1.6,3.1,0,0,0,1.6
1421110374825.00,3.1,3.3,1.6,1.5,4.9,1.6,0,0
1421110374827.00,3.1,5,0,1.5,8.1,0,0,0
1421110374834.00,4.6,5,1.6,0,4.9,1.6,1.7,0
1421110374846.00,3.1,3.3,1.6,0,6.5,1.6,1.7,1.6
1421110374862.00,6.1,5,0,1.5,6.5,0,1.7,0
1421110374867.00,4.6,5,0,1.5,4.9,0,1.7,1.6
1421110374874.00,3.1,5,3.3,1.5,4.9,0,1.7,0
1421110374877.00,3.1,1.7,0,1.5,6.5,1.6,0,0
1421110374880.00,3.1,1.7,1.6,1.5,6.5,1.6,0,1.6
1421110374882.00,3.1,0,0,3.1,6.5,1.6,0,3.2
1421110374885.00,3.1,6.7,0,1.5,6.5,1.6,1.7,3.2
1421110374901.00,3.1,3.3,1.6,1.5,8.1,0,0,3.2
1421110374911.00,3.1,6.7,1.6,1.5,6.5,1.6,0,3.2
1421110374919.00,3.1,1.7,0,1.5,6.5,0,0,1.6
1421110374925.00,1.5,5,1.6,1.5,4.9,0,0,3.2
1421110374930.00,3.1,3.3,1.6,1.5,4.9,1.6,1.7,1.6
1421110374935.00,3.1,5,0,3.1,6.5,1.6,1.7,6.4
1421110374942.00,3.1,3.3,0,1.5,6.5,3.2,0,3.2
1421110374945.00,3.1,1.7,1.6,3.1,4.9,0,0,3.2
1421110374948.00,1.5,1.7,3.3,3.1,0,0,0,3.2
1421110374951.00,1.5,1.7,1.6,4.6,4.9,1.6,1.7,1.6
