time_milisec,ax,ay,az
1421362509006.00,-1.0488689,2.689607,9.452543
1421362509024.00,-1.1243119,2.8916867,9.57918
1421362509045.00,-1.2476555,3.0048513,9.860894
1421362509058.00,-1.2045451,3.0085936,9.667497
1421362509078.00,-1.1201206,3.138673,9.472602
1421362509098.00,-1.10605,3.206033,9.433084
1421362509119.00,-1.1103909,3.2102244,9.29552
1421362509139.00,-1.2346326,3.3432975,9.274863
1421362509158.00,-1.3219011,3.429668,9.249266
1421362509179.00,-1.1587404,3.1808853,9.118887
1421362509199.00,-1.1300001,3.1918125,9.024284
1421362509219.00,-1.201252,3.1573842,9.034014
1421362509239.00,-1.1668236,3.3302746,9.169183
1421362509258.00,-1.1091934,3.3775764,9.298663
1421362509280.00,-1.1746074,3.1124775,9.304651
1421362509298.00,-1.0006691,3.1388228,9.566756
1421362509318.00,-1.0361453,3.1997461,9.571845
1421362509339.00,-1.1002121,3.2260914,9.626482
1421362509358.00,-1.1428734,3.3852105,9.701775
1421362509379.00,-1.176703,3.20274,9.670939
1421362509401.00,-1.248853,3.0404773,9.453442
1421362509418.00,-1.2319381,3.0310469,9.4860735
1421362509438.00,-1.1596385,3.1579828,9.441167
1421362509459.00,-1.1831397,3.206931,9.327404
1421362509478.00,-0.9898915,3.2133677,9.464369
1421362509498.00,-1.0961705,3.1922617,9.314381
1421362509518.00,-1.0488689,3.242108,9.165291
1421362509538.00,-0.9837543,3.1494508,9.124725
1421362509558.00,-1.1288027,3.2895594,9.161249
1421362509579.00,-1.1859838,3.306025,9.3630295
1421362509599.00,-1.1557466,3.325784,9.4012
1421362509618.00,-1.108894,3.235821,9.557026
1421362509638.00,-1.1253598,3.219505,9.506282
1421362509658.00,-1.1490107,3.3718882,9.439072
1421362509679.00,-1.1138338,3.2760873,9.427995
1421362509699.00,-0.99468154,3.19301,9.395961
1421362509719.00,-1.065185,3.131488,9.375304
1421362509739.00,-0.88196594,3.094964,9.419163
1421362509759.00,-0.9744736,3.0832882,9.349708
1421362509779.00,-1.0265652,3.118615,9.323662
1421362509799.00,-0.81789917,3.1596296,9.3928175
1421362509819.00,-0.94303894,3.194058,9.445658
1421362509839.00,-0.8640033,3.1244526,9.428294
1421362509859.00,-0.8322693,3.0307474,9.288934
1421362509879.00,-0.8490344,3.069517,9.197923
1421362509900.00,-0.9485774,3.1187644,9.226214
1421362509919.00,-0.92941725,3.2287858,9.342223
1421362509940.00,-0.84768724,3.170407,9.480236
1421362509960.00,-0.9261241,3.0741572,9.473499
1421362509979.00,-0.9976753,3.0879285,9.392518
1421362510000.00,-0.86355424,3.27489,9.427096
1421362510019.00,-0.9349558,3.2123199,9.494756
1421362510039.00,-0.98255676,3.1009514,9.428294
1421362510060.00,-0.94932586,3.1043944,9.45419
1421362510080.00,-1.074765,3.2142658,9.470057
