time_milisec,gx,gy,gz
1421362509006.00,0,-0.031975776,-0.07993878
1421362509024.00,-0.01279063,-0.057556238,-0.0937952
1421362509045.00,-0.019185679,-0.10978296,-0.09699259
1421362509058.00,-0.040502686,-0.18972173,-0.087399885
1421362509078.00,-0.054358847,-0.20570949,-0.0852683
1421362509098.00,-0.036239497,-0.16840446,-0.092729405
1421362509119.00,0.024514131,-0.11830986,-0.10232185
1421362509139.00,0.06821394,-0.073543996,-0.08633409
1421362509158.00,0.087399356,-0.021317273,-0.041568484
1421362509179.00,0.08420196,0.029843649,-0.002132127
1421362509199.00,0.06927974,0.071411334,-0.004263721
1421362509219.00,0.050094593,0.081004575,-0.021317273
1421362509239.00,0.03304104,0.08526776,-0.013856427
1421362509258.00,0.01705302,0.07674085,0.024514131
1421362509280.00,-0.015988022,0.09166281,0.036238696
1421362509298.00,-0.01279063,0.08313616,0.018119348
1421362509318.00,0.013855628,0.06288496,-0.01811988
1421362509339.00,0.03304104,0.041567683,-0.04476614
1421362509358.00,0.047962997,0.00959244,-0.035173167
1421362509379.00,0.050094593,-0.024514664,-0.01279063
1421362509401.00,0.00959244,-0.05222672,-0.035173167
1421362509418.00,-0.013856427,-0.081005104,-0.05222672
1421362509438.00,-0.01279063,-0.073543996,-0.041568484
1421362509459.00,0.006394783,-0.06395155,-0.014922224
1421362509478.00,0.04263348,-0.04476614,-0.002132127
1421362509498.00,0.044765607,-0.050095126,-0.008526909
1421362509518.00,0.013855628,-0.05542464,-0.024514664
1421362509538.00,0.002131594,-0.039436888,-0.041568484
1421362509558.00,0.014921425,-0.015988022,-0.029844182
1421362509579.00,0.029843649,-0.010659036,0.005328985
1421362509599.00,0.011724034,-0.029844182,0.014921425
1421362509618.00,0.001065797,-0.049029328,-0.011724833
1421362509638.00,0.003197391,-0.07034633,-0.025580462
1421362509658.00,-0.013856427,-0.061819427,0.003197391
1421362509679.00,-0.015988022,-0.05542464,0.014921425
1421362509699.00,0.003197391,-0.043700077,0.007460579
1421362509719.00,0.018119348,-0.04476614,-0.002132127
1421362509739.00,-0.006395315,-0.073543996,-0.00106633
1421362509759.00,-0.03090998,-0.08633409,0.001065797
1421362509779.00,-0.031975776,-0.06395155,-0.01279063
1421362509799.00,-0.03090998,-0.07674138,-0.008526909
1421362509819.00,-0.069280535,-0.13429762,0
1421362509839.00,-0.10871716,-0.16627286,-0.007461112
1421362509859.00,-0.10871716,-0.16840446,-0.023448868
1421362509879.00,-0.08846568,-0.110848755,-0.036239497
1421362509900.00,-0.035173167,-0.021317273,-0.025580462
1421362509919.00,0.003197391,0.02131674,-0.019185679
1421362509940.00,-0.014922224,0.001065797,-0.029844182
1421362509960.00,-0.046897735,-0.035173167,-0.034107372
1421362509979.00,-0.049029328,-0.024514664,-0.03090998
1421362510000.00,-0.029844182,0.018119348,-0.017053818
1421362510019.00,0,0.02557993,-0.007461112
1421362510039.00,-0.014922224,0.019185146,-0.017053818
1421362510060.00,-0.023448868,0.018119348,-0.023448868
1421362510080.00,-0.006395315,0.024514131,-0.013856427
1421362510099.00,0.018119348,0.027712055,0
1421362510120.00,0.01705302,0.01705302,0.001065797
1421362510140.00,-0.002132127,0.004263188,-0.004263721
1421362510159.00,-0.01279063,0.008526376,-0.009593239
1421362510179.00,-0.013856427,0.011724034,-0.008526909
1421362510202.00,-0.010659036,0.003197391,-0.010659036
1421362510218.00,-0.007461112,-0.003197924,-0.005329518
1421362510238.00,0.001065797,-0.002132127,0.002131594
1421362510258.00,-0.009593239,0.003197391,-0.007461112
1421362510279.00,-0.010659036,0.005328985,-0.021317273
1421362510299.00,-0.010659036,-0.004263721,-0.014922224
1421362510320.00,-0.02238307,-0.002132127,-0.004263721
1421362510339.00,-0.020251475,-0.007461112,0.010658237
1421362510360.00,-0.011724833,-0.006395315,0.007460579
1421362510380.00,-0.008526909,0.007460579,0
1421362510399.00,-0.00106633,0.013855628,0.007460579
1421362510419.00,-0.009593239,-0.004263721,0.019185146
1421362510440.00,-0.020251475,-0.003197924,0.010658237
1421362510459.00,-0.008526909,-0.01279063,0.007460579
1421362510480.00,-0.00106633,0,0.002131594
1421362510499.00,0,0.005328985,0.004263188
1421362510519.00,-0.010659036,0.003197391,0.002131594
1421362510540.00,-0.024514664,-0.00106633,-0.00106633
1421362510559.00,-0.024514664,0.001065797,-0.003197924
1421362510579.00,-0.011724833,0.014921425,-0.006395315
1421362510599.00,0.006394783,0.022382537,-0.008526909
1421362510619.00,0.001065797,0.007460579,0.001065797
1421362510639.00,-0.010659036,-0.009593239,0.003197391
1421362510659.00,-0.006395315,-0.011724833,0.002131594
1421362510679.00,0.007460579,0.005328985,0
1421362510699.00,0.00959244,0.020250943,-0.006395315
1421362510719.00,0.001065797,0.00959244,-0.007461112
1421362510739.00,-0.00106633,-0.003197924,-0.010659036
1421362510759.00,-0.002132127,0.004263188,-0.009593239
1421362510779.00,0.007460579,0.012789832,-0.01279063
1421362510800.00,0.007460579,0.013855628,-0.013856427
1421362510819.00,-0.007461112,0.008526376,-0.010659036
1421362510844.00,-0.008526909,0.002131594,-0.01811988
1421362510859.00,-0.003197924,0.00959244,-0.019185679
1421362510889.00,-0.00106633,0.013855628,-0.015988022
1421362510909.00,0.003197391,0,-0.004263721
1421362510919.00,-0.004263721,-0.025580462,-0.00106633
1421362510939.00,-0.011724833,-0.010659036,0.004263188
1421362510960.00,0.006394783,0.010658237,0.010658237
1421362510979.00,0.015987223,0.014921425,-0.005329518
1421362510999.00,0,0.005328985,-0.014922224
1421362511021.00,-0.008526909,0.003197391,-0.006395315
1421362511040.00,-0.009593239,0.002131594,0.012789832
1421362511059.00,-0.009593239,-0.007461112,0.005328985
1421362511080.00,0.003197391,-0.003197924,-0.017053818
1421362511099.00,0.022382537,-0.002132127,-0.013856427
1421362511122.00,0.005328985,0.002131594,-0.003197924
1421362511140.00,-0.011724833,0.002131594,0.002131594
1421362511159.00,-0.006395315,0.003197391,-0.005329518
1421362511179.00,0.007460579,0.005328985,-0.01279063
1421362511199.00,-0.003197924,0.004263188,-0.01279063
1421362511219.00,-0.00106633,0.006394783,-0.002132127
1421362511240.00,0.006394783,-0.009593239,0.008526376
1421362511260.00,-0.00106633,-0.006395315,0.001065797
1421362511279.00,-0.002132127,0.006394783,0.002131594
1421362511300.00,0.002131594,0.012789832,0.011724034
1421362511320.00,0.001065797,0.010658237,-0.00106633
1421362511342.00,0.007460579,-0.003197924,-0.007461112
1421362511361.00,0.007460579,-0.002132127,-0.008526909
1421362511382.00,0.010658237,0.004263188,-0.008526909
1421362511400.00,0.012789832,0.007460579,-0.014922224
1421362511418.00,0.010658237,0.00959244,-0.023448868
1421362511439.00,-0.00106633,0.007460579,-0.014922224
1421362511459.00,-0.004263721,-0.003197924,0.002131594
1421362511479.00,-0.011724833,-0.002132127,-0.006395315
1421362511500.00,-0.002132127,0.005328985,-0.01811988
1421362511520.00,0,0.010658237,-0.011724833
1421362511540.00,-0.01279063,0.007460579,-0.004263721
1421362511560.00,-0.015988022,-0.00106633,-0.003197924
1421362511580.00,-0.005329518,-0.009593239,-0.008526909
1421362511599.00,0.005328985,-0.009593239,-0.006395315
1421362511619.00,0.001065797,-0.00106633,-0.009593239
1421362511639.00,0.004263188,0.002131594,-0.010659036
1421362511659.00,0.002131594,0.005328985,-0.008526909
1421362511679.00,-0.011724833,0.001065797,-0.007461112
1421362511699.00,-0.01811988,-0.007461112,-0.005329518
1421362511719.00,-0.017053818,-0.005329518,-0.005329518
1421362511739.00,-0.002132127,-0.002132127,-0.002132127
