time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421375128138.00,0,0,0,0,0,0,0,0
1421375128157.00,0,0,0,3.1,0,0,3.1,0
1421375128162.00,3.3,7.1,13,4.6,0,6.9,0,11.3
1421375128172.00,11.6,0,1.6,3.1,0,6.9,0,4.8
1421375128177.00,8.3,1.8,0,0,1.4,0,0,0
1421375128182.00,4.9,0,1.6,0,0,6.9,7.8,3.2
1421375128229.00,1.6,19.5,11.3,1.5,5.8,6.9,0,6.4
1421375128243.00,0,8.8,6.4,0,16,1.7,0,0
1421375128249.00,0,7,9.7,0,7.2,0,1.5,0
1421375128253.00,4.9,12.3,11.3,3.1,10.1,1.7,4.6,11.1
1421375128259.00,6.5,19.5,11.3,7.7,7.2,3.5,6.2,9.5
1421375128264.00,11.5,7,11.3,6.1,4.3,5.2,1.5,12.7
1421375128271.00,4.9,12.3,11.3,1.5,11.6,0,9.3,7.9
1421375128275.00,6.5,14.1,6.4,7.7,8.7,0,9.3,3.2
1421375128281.00,8.2,7,12.9,3.1,10.1,0,4.6,6.3
1421375128289.00,6.5,15.9,6.4,7.7,8.7,1.7,9.3,4.7
1421375128295.00,8.2,7,11.3,3.1,10.1,6.9,3.1,11.1
1421375128299.00,8.2,8.8,11.3,1.5,10.1,3.4,6.2,11.1
1421375128307.00,13.2,10.5,8.1,0,7.2,6.9,6.2,0
1421375128311.00,11.5,8.8,12.9,3.1,8.7,3.4,6.2,12.7
1421375128320.00,4.9,17.7,8.1,9.2,5.8,12.1,1.5,7.9
1421375128333.00,16.5,10.5,9.7,7.7,10.1,13.8,7.8,7.9
1421375128336.00,6.5,8.8,0,9.2,8.7,0,12.5,14.3
1421375128340.00,11.5,5.3,11.3,9.2,16,13.7,0,7.9
1421375128344.00,14.8,21.3,0,9.2,8.7,13.7,10.9,11.1
1421375128348.00,14.8,19.5,11.3,6.1,7.2,5.1,7.8,6.3
1421375128351.00,19.8,15.9,14.6,1.5,13.1,1.7,4.6,9.5
1421375128358.00,16.5,12.3,6.4,4.6,8.7,6.8,0,9.5
1421375128362.00,19.8,12.3,9.7,9.2,13.1,8.6,0,7.9
1421375128365.00,8.2,19.5,1.6,6.1,4.3,0,0,9.5
1421375128367.00,14.8,17.7,4.8,7.7,0,5.1,9.3,7.9
1421375128375.00,19.8,19.5,6.4,15.4,11.5,10.3,9.3,12.7
1421375128379.00,14.8,12.3,8.1,6.1,4.3,10.3,4.6,9.5
1421375128385.00,9.8,19.5,3.2,7.7,11.5,1.7,4.6,11.1
1421375128397.00,16.5,17.7,8.1,7.7,11.5,13.7,6.2,15.9
1421375128400.00,14.8,12.3,11.3,6.1,7.2,8.6,0,14.3
1421375128403.00,14.8,12.3,11.3,3.1,10.1,6.8,1.5,14.3
