time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421375152864.00,0,0,0,0,0,0,0,0
1421375152877.00,0,0,0,0,0,0,0,13.4
1421375152881.00,0,0,1.7,0,0,0,1.8,0
1421375152885.00,0,3.4,1.7,0,0,9.8,5.3,1.7
1421375152894.00,0,8.6,0,0,0,13.1,3.6,0
1421375152900.00,0,3.4,1.7,1.6,0,14.7,0,1.6
1421375152912.00,4.7,13.8,0,0,10.2,14.7,0,3.3
1421375152917.00,0,0,3.5,4.7,11.9,23.1,1.8,6.6
1421375152923.00,9.3,0,3.5,3.1,6.8,13.1,3.5,25.1
1421375152928.00,12.4,0,3.5,4.7,11.9,0,3.5,8.3
1421375152939.00,7.7,0,6.9,6.2,15.3,0,5.3,8.3
1421375152945.00,18.7,0,0,3.1,11.9,16.3,3.5,13.3
1421375152950.00,9.3,3.4,5.2,3.1,11.9,18,3.5,8.3
1421375152954.00,9.3,1.7,0,3.1,10.2,18,5.3,8.3
1421375152959.00,7.7,5.1,10.3,4.7,11.9,16.3,3.5,6.6
1421375152962.00,7.7,3.4,10.3,6.2,11.9,16.3,3.5,6.6
1421375152969.00,18.7,5.1,10.3,4.7,11.9,9.7,0,6.6
1421375152976.00,7.7,1.7,27.9,1.5,10.2,21.3,7.1,8.3
1421375152979.00,7.7,0,10.3,3.1,10.2,16.3,7.1,6.6
1421375152985.00,6.2,8.5,10.3,9.3,10.2,16.3,8.8,4.9
1421375152994.00,7.7,1.7,8.6,3.1,11.9,16.3,7.1,6.6
1421375152998.00,17.1,0,1.7,4.7,0,14.7,7.1,1.6
1421375153004.00,9.3,6.8,0,7.8,21.9,16.3,7.1,6.6
1421375153015.00,7.7,6.8,8.6,4.7,28.8,21.3,0,4.9
1421375153018.00,7.7,8.5,8.6,3.1,20.2,22.9,7.1,6.6
1421375153021.00,18.7,6.8,15.6,3.1,20.2,14.7,7.1,6.6
1421375153035.00,6.2,13.6,10.3,1.5,20.2,13,7.1,6.6
1421375153039.00,9.3,0,3.4,6.2,20.2,16.3,3.5,6.6
1421375153044.00,9.3,6.8,1.7,4.7,0,14.7,5.3,1.6
1421375153291.00,9.3,13.6,3.4,9.3,25.2,14.7,7.1,15
1421375153296.00,15.5,11.9,8.6,4.7,23.5,13,5.3,6.6
1421375153303.00,9.3,8.5,8.6,4.7,21.8,21.3,5.3,6.6
1421375153314.00,0,8.5,8.6,9.3,30.4,16.3,10.6,8.3
1421375153319.00,12.3,8.5,8.6,4.7,23.5,14.7,5.3,6.6
1421375153323.00,12.3,8.5,8.6,3.1,23.5,14.7,5.3,6.6
1421375153326.00,10.8,6.8,6.9,3.1,23.5,13,5.3,1.6
1421375153333.00,12.3,8.5,8.6,3.1,21.8,14.7,5.3,6.6
1421375153338.00,18.6,8.5,8.6,3.1,23.5,13,5.3,4.9
1421375153341.00,12.3,6.8,8.6,3.1,23.5,16.3,5.3,4.9
1421375153347.00,1.5,6.8,8.6,9.3,28.7,14.7,5.3,6.6
1421375153352.00,21.7,6.8,10.3,0,23.5,14.7,5.3,0
1421375153357.00,12.3,6.8,0,7.7,21.8,14.7,16,4.9
1421375153363.00,12.3,1.7,17,7.7,23.5,14.7,10.6,3.3
1421375153369.00,12.3,11.9,22.1,6.2,23.5,14.7,7.1,6.6
1421375153373.00,12.3,13.6,22.1,6.2,23.5,16.3,7.1,6.6
1421375153378.00,12.3,6.8,22.1,6.2,37.3,11.4,7.1,6.6
1421375153384.00,4.6,6.8,22.1,10.9,26.9,14.7,8.8,1.6
1421375153388.00,18.6,5.1,22.1,0,23.5,14.7,7.1,6.6
1421375153393.00,10.8,8.5,29.1,0,30.4,16.3,0,6.6
1421375153397.00,12.3,0,18.7,12.3,23.5,16.3,0,0
1421375153405.00,12.3,15.3,20.4,13.9,21.8,14.7,24.5,1.6
1421375153408.00,15.4,6.7,17,12.3,33.9,14.7,22.8,0
1421375153411.00,12.3,6.7,22.1,24.9,25.2,14.7,24.5,6.6
1421375153414.00,7.7,6.7,22.1,12.3,23.5,26.3,21,4.9
1421375153417.00,12.3,6.7,22.1,3.1,23.5,16.3,24.5,8.3
1421375153419.00,10.8,10.1,25.6,0,30.4,16.3,15.7,6.6
1421375153422.00,10.8,5,13.5,12.3,25.2,13,1.7,0
1421375153435.00,12.3,17,20.4,13.9,18.4,14.7,22.8,6.6
